Position,Position_microns,Ga,As,O,In,Se,C
328,0.098043478,47.97605381,44.01645227,4.035942762,0,0,3.971551157
329,0.098342391,46.67944695,41.75652407,5.820289568,0,0,5.743739413
330,0.098641304,47.28854938,43.93533163,5.820289568,0,0,2.955829424
331,0.098940217,45.26702917,44.96351458,6.813626824,0,0,2.955829424
332,0.09923913,48.92825314,43.73148413,4.384433304,0,0,2.955829424
333,0.099538043,48.35426978,40.87491717,7.81498362,0,0,2.955829424
334,0.099836957,48.56398502,40.32999484,7.969013171,0,1.36481871,1.772188256
335,0.10013587,48.99510046,36.88161898,9.298239887,0.18504316,1.547639899,3.092357612
336,0.100434783,51.7015839,37.7316706,7.513893081,0.18504316,1.547639899,1.320169356
337,0.100733696,52.72416788,36.70908662,7.513893081,0.18504316,1.547639899,1.320169356
338,0.101032609,53.06733825,37.99539228,5.884417058,0.18504316,1.547639899,1.320169356
339,0.101331522,49.70479883,41.08611157,5.884417058,0.18504316,1.819460028,1.320169356
