[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191031 04:34:31"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
4.204803021E+3	255.041100000E+0	100.000001490E-3	91.725074967E-12	702.273790945E-12	1.090214443E+9	8.346998135E+9	91.994132100E-3	NaN	372.797759393E-3	NaN	1.002933300E+9	NaN	4.064294955E+9	NaN	75.000000000E+0	48.638072736E-12
4.304203314E+3	254.067200000E+0	100.000001490E-3	-149.899372000E-12	665.623153049E-12	-667.114212394E+6	2.962298371E+9	NaN	0.000000000E+0	NaN	35.520950593E+36	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	155.794002699E-12
4.401769440E+3	253.053600000E+0	100.000001490E-3	-50.713201700E-12	458.768371336E-12	-1.971873164E+9	17.838215880E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	47.632328637E-12
4.503040531E+3	252.059600000E+0	100.000001490E-3	40.029559167E-12	442.444840731E-12	2.498153954E+9	27.611978525E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	211.458794919E-12
4.597620739E+3	251.050600000E+0	100.000001490E-3	52.409255667E-12	389.299765768E-12	1.908059945E+9	14.173208153E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	122.153800963E-12
4.696457551E+3	250.064900000E+0	100.000001490E-3	-138.864074933E-12	271.949221856E-12	-720.128669263E+6	1.410288668E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	126.930854716E-12
4.796508814E+3	249.052800000E+0	100.000001490E-3	-55.295757567E-12	260.225198541E-12	-1.808457030E+9	8.510708784E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	100.581890039E-12
4.889455459E+3	248.069700000E+0	100.000001490E-3	103.415264590E-12	234.178397862E-12	966.975251541E+6	2.189664322E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	80.518383627E-12
4.982574390E+3	247.036500000E+0	100.000001490E-3	67.880953897E-12	215.033123838E-12	1.473167299E+9	4.666695855E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	149.911041913E-12
5.077979195E+3	246.022800000E+0	100.000001490E-3	3.735168830E-12	225.029722857E-12	26.772551936E+9	1.612944479E+12	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	11.679098660E-12
5.175223384E+3	245.061800000E+0	100.000001490E-3	81.954991067E-12	207.507866366E-12	1.220181958E+9	3.089468395E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	125.875268542E-12
5.267916345E+3	244.045800000E+0	100.000001490E-3	74.250030100E-12	224.341463078E-12	1.346800821E+9	4.069267935E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	75.238773545E-12
5.365490014E+3	243.049500000E+0	100.000001490E-3	47.947295933E-12	180.288187281E-12	2.085623382E+9	7.842220328E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	101.034916544E-12
5.471170130E+3	242.066300000E+0	100.000001490E-3	51.549343667E-12	206.486774491E-12	1.939888937E+9	7.770446353E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	112.499759508E-12
5.562532808E+3	241.060800000E+0	100.000001490E-3	-19.355980000E-12	167.710730403E-12	-5.166362101E+9	44.764169078E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	138.547021078E-12
5.651486910E+3	240.059100000E+0	100.000001490E-3	61.513884567E-12	142.266356593E-12	1.625649269E+9	3.759723520E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	123.863960755E-12
5.747386829E+3	239.045300000E+0	100.000001490E-3	37.888310967E-12	173.146736718E-12	2.639336485E+9	12.061569593E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	63.120245142E-12
5.840561906E+3	238.045200000E+0	100.000001490E-3	75.820222733E-12	138.987135553E-12	1.318909361E+9	2.417711627E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	142.921868784E-12
