[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 17:01:38"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = -100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
399.416599751E+0	6.000000052E-3	177.565470000E-12	376.488446633E-15	33.790353790E+6	71.644998374E+3	29.330241859E-9
406.909739017E+0	4.999999888E-3	148.927823333E-12	314.879300010E-15	33.573309381E+6	70.984319252E+3	28.637641973E-9
414.399728775E+0	4.000000190E-3	118.721550000E-12	363.379353170E-15	33.692284088E+6	103.124330829E+3	30.206282448E-9
421.888059139E+0	3.000000026E-3	88.391748667E-12	783.699334719E-15	33.939819851E+6	300.917389226E+3	30.329796362E-9
430.216532707E+0	2.000000095E-3	59.506048667E-12	182.735819540E-15	33.610030237E+6	103.212304594E+3	28.885701991E-9
438.143957615E+0	1.000000047E-3	30.025323333E-12	136.167178671E-15	33.305221609E+6	151.041772678E+3	29.480723933E-9
446.064064026E+0	-76.327832943E-18	731.018170000E-15	77.483394666E-15	-104.413044813E-6	11.067135526E-6	29.294303772E-9
453.980538845E+0	-1.000000047E-3	-24.057104000E-12	102.283824575E-15	41.567765077E+6	176.734073689E+3	24.788120993E-9
461.897106171E+0	-2.000000095E-3	-53.078203333E-12	121.285617913E-15	37.680252333E+6	86.100741931E+3	29.021097955E-9
469.809812546E+0	-3.000000026E-3	-81.865298000E-12	140.939138012E-15	36.645564108E+6	63.088931983E+3	28.787096651E-9
477.725411892E+0	-4.000000190E-3	-110.986419667E-12	3.655281295E-12	36.040447129E+6	1.186973800E+6	29.121116893E-9
486.002400398E+0	-4.999999888E-3	-142.213226667E-12	328.116491018E-15	35.158472988E+6	81.118156564E+3	31.226816423E-9
493.492707729E+0	-6.000000052E-3	-172.462363333E-12	498.163694522E-15	34.790199648E+6	100.492733921E+3	30.249131708E-9
500.983622074E+0	-7.000000216E-3	-201.528773333E-12	321.535525933E-15	34.734495230E+6	55.418261160E+3	29.066405236E-9
508.472329617E+0	-8.000000380E-3	-230.955833333E-12	787.887129731E-15	34.638659109E+6	118.166981578E+3	29.427055177E-9
515.967730999E+0	-8.999999613E-3	-260.038733333E-12	865.633022242E-15	34.610227089E+6	115.212665019E+3	29.082922319E-9
523.458010197E+0	-9.999999776E-3	-288.927766667E-12	1.280933945E-12	34.610726037E+6	153.443382549E+3	28.889028598E-9
530.951301575E+0	-10.999999940E-3	-318.862673333E-12	1.220126804E-12	34.497609348E+6	132.004970698E+3	29.934901760E-9
538.440345287E+0	-12.000000104E-3	-347.451673333E-12	650.799071664E-15	34.537177470E+6	64.690328931E+3	28.588995314E-9
545.935105324E+0	-13.000000268E-3	-378.815443333E-12	572.565714755E-15	34.317503410E+6	51.869653717E+3	31.363764859E-9
