[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
126.515540123E+0	-56.000001729E-3	-1.939065133E-9	8.234439100E-12	28.879897207E+6	122.641447509E+3	30.958019256E-9
129.388360023E+0	-54.999999702E-3	-1.885306000E-9	7.651898809E-12	29.172982901E+6	118.404499382E+3	53.759024388E-9
132.258115292E+0	-54.000001401E-3	-1.857293433E-9	8.999734742E-12	29.074566480E+6	140.884246595E+3	28.012614253E-9
135.127642632E+0	-52.999999374E-3	-1.825860133E-9	7.196905090E-12	29.027414755E+6	114.415964942E+3	31.433236299E-9
137.996520042E+0	-52.000001073E-3	-1.780721167E-9	9.836865372E-12	29.201652705E+6	161.312580363E+3	45.139043346E-9
140.863628864E+0	-50.999999046E-3	-1.749655600E-9	10.876395427E-12	29.148593041E+6	181.196587524E+3	31.065503711E-9
143.736256123E+0	-50.000000745E-3	-1.729185033E-9	8.520462621E-12	28.915355952E+6	142.478800595E+3	20.470601441E-9
146.607244968E+0	-48.999998719E-3	-1.684214133E-9	8.252893372E-12	29.093686930E+6	142.563282953E+3	44.970808864E-9
149.480894566E+0	-48.000000417E-3	-1.651766100E-9	10.167541429E-12	29.059804785E+6	178.879303238E+3	32.448088454E-9
152.347359180E+0	-46.999998391E-3	-1.596730500E-9	4.733119841E-12	29.435147879E+6	87.253348298E+3	55.035488467E-9
