[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 23:12:28"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
1.363824453E+3	3.200015039E+0	1.000000000E-6	11.575235257E-3	-361.199938933E-6	97.134859833E-3	12.550263232E-6	39.595848595E-6	53.476155009E-6	11.575235256E+3	-361.199938911E+0	97.134859827E+3	12.550263232E+0	39.595848592E+0	53.476155006E+0	3.872400000E+0
1.406813808E+3	3.300015234E+0	1.000000000E-6	11.126813307E-3	-343.367222333E-6	93.948162833E-3	11.506146336E-6	35.609891817E-6	67.981304591E-6	11.126813306E+3	-343.367222312E+0	93.948162827E+3	11.506146335E+0	35.609891815E+0	67.981304587E+0	4.078200000E+0
1.449772662E+3	3.400027734E+0	1.000000000E-6	10.663442517E-3	-321.901902367E-6	90.636192000E-3	10.071844702E-6	36.014787344E-6	65.777918078E-6	10.663442516E+3	-321.901902347E+0	90.636191994E+3	10.071844702E+0	36.014787341E+0	65.777918074E+0	4.309400000E+0
1.492739306E+3	3.500013672E+0	1.000000000E-6	10.225505932E-3	-313.601064050E-6	87.452792833E-3	11.098640035E-6	36.047937657E-6	62.845943313E-6	10.225505931E+3	-313.601064031E+0	87.452792828E+3	11.098640034E+0	36.047937655E+0	62.845943309E+0	4.556500000E+0
1.535716764E+3	3.600016016E+0	1.000000000E-6	9.780155198E-3	-286.272016887E-6	84.237364167E-3	61.264095658E-6	50.006269547E-6	61.517715491E-6	9.780155197E+3	-286.272016869E+0	84.237364161E+3	61.264095654E+0	50.006269543E+0	61.517715487E+0	4.868600000E+0
1.598480700E+3	3.699991406E+0	1.000000000E-6	9.177153770E-3	-266.103926775E-6	79.761949333E-3	65.293583729E-6	37.400157236E-6	61.155523140E-6	9.177153769E+3	-266.103926758E+0	79.761949328E+3	65.293583725E+0	37.400157233E+0	61.155523137E+0	5.320300000E+0
1.659381743E+3	3.800022266E+0	1.000000000E-6	8.629738584E-3	-260.067628642E-6	75.325720667E-3	61.046616139E-6	49.654755517E-6	63.717019075E-6	8.629738584E+3	-260.067628626E+0	75.325720662E+3	61.046616135E+0	49.654755514E+0	63.717019071E+0	5.822300000E+0
1.718277077E+3	3.900003906E+0	1.000000000E-6	8.165247582E-3	-243.554285533E-6	71.566636833E-3	8.621533441E-6	13.893941381E-6	56.938958088E-6	8.165247582E+3	-243.554285518E+0	71.566636829E+3	8.621533440E+0	13.893941380E+0	56.938958085E+0	6.258200000E+0
1.763697675E+3	4.000016016E+0	1.000000000E-6	7.830660981E-3	-241.305580133E-6	68.814810333E-3	10.603220928E-6	12.986830518E-6	50.073067519E-6	7.830660980E+3	-241.305580118E+0	68.814810329E+3	10.603220927E+0	12.986830518E+0	50.073067516E+0	6.649400000E+0
1.809197665E+3	4.100014062E+0	1.000000000E-6	7.529669964E-3	-232.232678750E-6	66.311530500E-3	5.665015247E-6	5.881533573E-6	50.390892537E-6	7.529669964E+3	-232.232678736E+0	66.311530496E+3	5.665015247E+0	5.881533573E+0	50.390892534E+0	7.039700000E+0
1.854299962E+3	4.200023437E+0	1.000000000E-6	7.255393722E-3	-231.956854683E-6	64.036769500E-3	7.651953351E-6	6.551927957E-6	46.611879277E-6	7.255393721E+3	-231.956854669E+0	64.036769496E+3	7.651953350E+0	6.551927957E+0	46.611879274E+0	7.439800000E+0
1.899436947E+3	4.300031250E+0	1.000000000E-6	7.007553450E-3	-222.085002467E-6	61.903795500E-3	6.032004019E-6	5.021413486E-6	42.842880739E-6	7.007553449E+3	-222.085002453E+0	61.903795496E+3	6.032004019E+0	5.021413485E+0	42.842880736E+0	7.838900000E+0
1.944551628E+3	4.400030469E+0	1.000000000E-6	6.772551188E-3	-222.434237950E-6	59.905824667E-3	8.323256361E-6	7.499214851E-6	41.937339459E-6	6.772551188E+3	-222.434237936E+0	59.905824663E+3	8.323256360E+0	7.499214851E+0	41.937339457E+0	8.240400000E+0
