[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181207 20:47:44"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 2.500000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
478.671725750E+0	-280.000000000E-9	-39.247493673E-6	-161.825213333E-6	16.724601468E-9	3.876153396E-6	140.169620262E+0	577.947190476E+0	59.730719528E-3	13.843404985E+0	7.059876282E-3	1.449818869E-3	300.002100000E+0
485.302790642E+0	-270.000000000E-9	-37.850295300E-6	-153.891340000E-6	16.208580211E-9	4.832430277E-6	140.186278889E+0	569.967925926E+0	60.031778561E-3	17.897889917E+0	7.157179818E-3	1.260418408E-3	300.005700000E+0
491.906845093E+0	-260.000000000E-9	-36.390648713E-6	-150.204690000E-6	18.800821314E-9	3.839571340E-6	139.964033513E+0	577.710346154E+0	72.310851207E-3	14.767582078E+0	6.850973442E-3	2.712489659E-3	300.001200000E+0
498.547318459E+0	-250.000000000E-9	-34.963279747E-6	-143.489546667E-6	15.814204854E-9	5.079408171E-6	139.853118987E+0	573.958186667E+0	63.256819417E-3	20.317632686E+0	7.005897027E-3	1.489171490E-3	300.000000000E+0
505.153354645E+0	-240.000000000E-9	-33.557717387E-6	-133.904743333E-6	12.266710326E-9	3.258553293E-6	139.823822444E+0	557.936430556E+0	51.111293023E-3	13.577305386E+0	7.114590063E-3	1.043318225E-3	299.998500000E+0
511.752669811E+0	-230.000000000E-9	-32.143783800E-6	-130.940546667E-6	12.611232213E-9	3.417265305E-6	139.755581739E+0	569.306724638E+0	54.831444406E-3	14.857675240E+0	7.072467968E-3	3.373595319E-3	299.999400000E+0
518.387343407E+0	-220.000000000E-9	-30.761020790E-6	-123.904640000E-6	13.841411843E-9	3.164219315E-6	139.822821773E+0	563.202909091E+0	62.915508377E-3	14.382815070E+0	7.231897243E-3	1.421280934E-3	299.995100000E+0
525.022439480E+0	-210.000000000E-9	-29.376531973E-6	-118.570300000E-6	15.582498270E-9	4.061004944E-6	139.888247492E+0	564.620476190E+0	74.202372714E-3	19.338118780E+0	7.222882467E-3	1.874646161E-3	299.999800000E+0
531.676109791E+0	-200.000000000E-9	-27.943542677E-6	-109.312910000E-6	16.474799415E-9	3.956301639E-6	139.717713383E+0	546.564550000E+0	82.373997077E-3	19.781508194E+0	6.978419185E-3	1.080218074E-3	300.003700000E+0
538.308689117E+0	-190.000000000E-9	-26.539947753E-6	-103.178434333E-6	17.374420329E-9	4.054611391E-6	139.683935544E+0	543.044391228E+0	91.444317519E-3	21.340059953E+0	7.124562674E-3	1.630131171E-3	300.002500000E+0
