[Main]
Experiment = ""
Header length = 58    
Date = "20181213 13:05:50"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
190.772377968E+0	-660.000000000E-9	-68.261367113E-6	-1.780267633E-3	43.694159429E-9	4.513468301E-6	103.426313808E+0	2.697375202E+3	66.203271863E-3	6.838588335E+0	9.798311171E-3	361.737788335E-6	-4.353326932E-6	300.002600000E+0
196.302446365E+0	-650.000000000E-9	-67.258118170E-6	-1.755990833E-3	37.797876647E-9	5.565081169E-6	103.474027954E+0	2.701524359E+3	58.150579457E-3	8.561663337E+0	9.967615781E-3	411.915903249E-6	-4.353326932E-6	299.999900000E+0
201.830945969E+0	-640.000000000E-9	-66.239565957E-6	-1.726523933E-3	43.219176580E-9	4.729802656E-6	103.499321807E+0	2.697693646E+3	67.529963406E-3	7.390316651E+0	9.817857022E-3	339.363828567E-6	-4.353326932E-6	300.001400000E+0
207.409257412E+0	-630.000000000E-9	-65.206240980E-6	-1.701122233E-3	44.143248977E-9	2.976680432E-6	103.501969810E+0	2.700194021E+3	70.068649170E-3	4.724889574E+0	9.677497618E-3	393.674439112E-6	-4.353326932E-6	300.001700000E+0
212.992483139E+0	-620.000000000E-9	-64.190984910E-6	-1.671297767E-3	33.483693435E-9	4.257718822E-6	103.533846629E+0	2.695641559E+3	54.005957154E-3	6.867288422E+0	9.849731802E-3	335.295182702E-6	-4.353326932E-6	300.000900000E+0
218.568353176E+0	-610.000000000E-9	-63.157884553E-6	-1.641974867E-3	48.150145126E-9	4.282295386E-6	103.537515661E+0	2.691762077E+3	78.934664141E-3	7.020156371E+0	9.679601730E-3	341.030389218E-6	-4.353326932E-6	300.001400000E+0
224.099207878E+0	-600.000000000E-9	-62.129533157E-6	-1.617522100E-3	45.125990487E-9	4.381116810E-6	103.549221928E+0	2.695870167E+3	75.209984145E-3	7.301861351E+0	9.724302444E-3	408.951679633E-6	-4.353326932E-6	300.000300000E+0
229.646142960E+0	-590.000000000E-9	-61.137123507E-6	-1.589716433E-3	47.923762440E-9	4.818960209E-6	103.622243232E+0	2.694434633E+3	81.226716001E-3	8.167729168E+0	10.076484041E-3	359.638922522E-6	-4.353326932E-6	300.002900000E+0
235.201405525E+0	-580.000000000E-9	-60.088314390E-6	-1.563378300E-3	37.403764773E-9	4.485855449E-6	103.600542052E+0	2.695479828E+3	64.489249609E-3	7.734233534E+0	9.534623452E-3	379.677628382E-6	-4.353326932E-6	300.000300000E+0
240.721518040E+0	-570.000000000E-9	-59.035395023E-6	-1.531862933E-3	50.595107095E-9	4.287738194E-6	103.570868462E+0	2.687478830E+3	88.763345781E-3	7.522347709E+0	9.497403426E-3	317.305526087E-6	-4.353326932E-6	300.004900000E+0
246.244602203E+0	-560.000000000E-9	-58.005994473E-6	-1.504554133E-3	44.901972479E-9	4.049970019E-6	103.582132988E+0	2.686703810E+3	80.182093713E-3	7.232089319E+0	9.714391546E-3	366.182329506E-6	-4.353326932E-6	300.003100000E+0
251.797995090E+0	-550.000000000E-9	-56.944269847E-6	-1.479488500E-3	42.496579722E-9	5.221813615E-6	103.535036085E+0	2.689979091E+3	77.266508586E-3	9.494206573E+0	9.418638081E-3	398.952616398E-6	-4.353326932E-6	300.000100000E+0
257.332664490E+0	-540.000000000E-9	-55.955053657E-6	-1.451261867E-3	37.810626743E-9	2.900906823E-6	103.620469735E+0	2.687521975E+3	70.019679154E-3	5.372049672E+0	10.109013683E-3	354.275335705E-6	-4.353326932E-6	299.998900000E+0
262.849421501E+0	-530.000000000E-9	-54.920068053E-6	-1.422105933E-3	41.752342326E-9	4.166619368E-6	103.622769912E+0	2.683218742E+3	78.778004389E-3	7.861545978E+0	9.661970145E-3	342.983360734E-6	-4.353326932E-6	299.998900000E+0
268.396179199E+0	-520.000000000E-9	-53.882874280E-6	-1.394009700E-3	50.102400179E-9	4.510525722E-6	103.620912077E+0	2.680787885E+3	96.350769575E-3	8.674087926E+0	9.641399955E-3	355.919595391E-6	-4.353326932E-6	300.000100000E+0
273.965883732E+0	-510.000000000E-9	-52.448640880E-6	-1.367608167E-3	49.659658820E-9	4.541494430E-6	102.840472314E+0	2.681584641E+3	97.371880039E-3	8.904891040E+0	6.972365865E-3	378.765879760E-6	-4.353326932E-6	300.002500000E+0
279.489202976E+0	-500.000000000E-9	-51.550322683E-6	-1.340014833E-3	42.109163840E-9	4.078382997E-6	103.100645367E+0	2.680029667E+3	84.218327680E-3	8.156765993E+0	11.131912987E-3	362.406378352E-6	-4.353326932E-6	300.003700000E+0
285.019706249E+0	-490.000000000E-9	-50.647564507E-6	-1.311891900E-3	42.196691728E-9	3.886400935E-6	103.362376544E+0	2.677330408E+3	86.115697405E-3	7.931430481E+0	11.077163584E-3	355.581684225E-6	-4.353326932E-6	300.005200000E+0
290.514510155E+0	-480.000000000E-9	-49.686834913E-6	-1.284248300E-3	45.477020652E-9	4.011327798E-6	103.514239403E+0	2.675517292E+3	94.743793026E-3	8.356932912E+0	10.408756084E-3	361.747384566E-6	-4.353326932E-6	300.003100000E+0
296.030229568E+0	-470.000000000E-9	-48.733211337E-6	-1.251347733E-3	38.330033503E-9	2.916198351E-6	103.687683695E+0	2.662441986E+3	81.553262773E-3	6.204677343E+0	10.486317919E-3	303.946132640E-6	-4.353326932E-6	300.003700000E+0
301.650424480E+0	-460.000000000E-9	-47.704477177E-6	-1.223265033E-3	53.583196768E-9	4.007130072E-6	103.705385167E+0	2.659271812E+3	116.485210365E-3	8.711152330E+0	9.720684302E-3	356.091116595E-6	-4.353326932E-6	299.999800000E+0
307.194519997E+0	-450.000000000E-9	-46.688451457E-6	-1.195996300E-3	44.179424115E-9	3.776029836E-6	103.752114348E+0	2.657769556E+3	98.176498034E-3	8.391177413E+0	9.842270528E-3	366.720370828E-6	-4.353326932E-6	299.998600000E+0
312.761804581E+0	-440.000000000E-9	-45.671924780E-6	-1.166502800E-3	47.219278752E-9	3.328408136E-6	103.799829045E+0	2.651142727E+3	107.316542618E-3	7.564563945E+0	9.837420138E-3	339.057758489E-6	-4.353326932E-6	300.001300000E+0
318.313012600E+0	-430.000000000E-9	-44.678088790E-6	-1.139746933E-3	142.734853329E-9	4.748440324E-6	103.902532070E+0	2.650574264E+3	331.941519369E-3	11.042884475E+0	10.062022407E-3	373.749806896E-6	-4.353326932E-6	300.002200000E+0
323.842920780E+0	-420.000000000E-9	-43.648389473E-6	-1.111488400E-3	50.654343821E-9	4.346191195E-6	103.924736841E+0	2.646400952E+3	120.605580526E-3	10.348074274E+0	9.711572921E-3	353.875407547E-6	-4.353326932E-6	300.001000000E+0
329.419453621E+0	-410.000000000E-9	-42.588416710E-6	-1.085735800E-3	38.451729102E-9	4.209422971E-6	103.874187098E+0	2.648136098E+3	93.784705127E-3	10.266885296E+0	9.434204676E-3	388.310306532E-6	-4.353326932E-6	300.003700000E+0
334.963626385E+0	-400.000000000E-9	-41.229915577E-6	-1.058915700E-3	78.021974060E-9	3.856534358E-6	103.074788942E+0	2.647289250E+3	195.054935151E-3	9.641335894E+0	7.361053852E-3	372.854687343E-6	-4.353326932E-6	300.003100000E+0
340.495957375E+0	-390.000000000E-9	-40.040651220E-6	-1.031482100E-3	42.226984059E-9	4.080506403E-6	102.668336462E+0	2.644825897E+3	108.274318101E-3	10.462836931E+0	8.408559412E-3	364.516505307E-6	-4.353326932E-6	300.003100000E+0
346.160156727E+0	-380.000000000E-9	-39.178817483E-6	-1.004672413E-3	45.695064159E-9	4.723268649E-6	103.102151272E+0	2.643874772E+3	120.250168840E-3	12.429654340E+0	11.603166103E-3	372.999510376E-6	-4.353326932E-6	300.001000000E+0
351.660530090E+0	-370.000000000E-9	-38.285301977E-6	-977.338836667E-6	52.017715167E-9	5.426809060E-6	103.473789126E+0	2.641456315E+3	140.588419371E-3	14.667051514E+0	11.191747569E-3	365.850401576E-6	-4.353326932E-6	300.005700000E+0
357.194658279E+0	-360.000000000E-9	-37.324237627E-6	-948.037460000E-6	39.369938318E-9	4.401025837E-6	103.678437852E+0	2.633437389E+3	109.360939772E-3	12.225071769E+0	10.405130520E-3	341.280893173E-6	-4.353326932E-6	300.001300000E+0
362.718657970E+0	-350.000000000E-9	-36.351597883E-6	-919.961980000E-6	47.290575282E-9	4.594002269E-6	103.861708238E+0	2.628462800E+3	135.115929377E-3	13.125720770E+0	10.281298979E-3	356.182690376E-6	-4.353326932E-6	299.999500000E+0
368.251573563E+0	-340.000000000E-9	-35.383564680E-6	-892.176266667E-6	42.108271678E-9	4.451068056E-6	104.069307882E+0	2.624047843E+3	123.847857876E-3	13.091376634E+0	10.330224176E-3	359.897184572E-6	-4.353326932E-6	300.004000000E+0
373.790348530E+0	-330.000000000E-9	-34.379751377E-6	-862.398796667E-6	36.205465866E-9	4.853851169E-6	104.181064778E+0	2.613329687E+3	109.713532927E-3	14.708639908E+0	9.962011827E-3	335.824366543E-6	-4.353326932E-6	300.001600000E+0
379.329659939E+0	-320.000000000E-9	-33.412749393E-6	-835.963546667E-6	51.625493456E-9	3.639199848E-6	104.414841854E+0	2.612386083E+3	161.329667050E-3	11.372499524E+0	10.341240424E-3	378.282785296E-6	-4.353326932E-6	300.001000000E+0
384.864519119E+0	-310.000000000E-9	-32.401197910E-6	-805.811433333E-6	43.663547820E-9	4.932307183E-6	104.519993258E+0	2.599391720E+3	140.850154259E-3	15.910668332E+0	9.885804296E-3	331.651711754E-6	-4.353326932E-6	300.002200000E+0
390.388814926E+0	-300.000000000E-9	-31.327715013E-6	-780.649246667E-6	30.547205580E-9	3.454520389E-6	104.425716711E+0	2.602164156E+3	101.824018599E-3	11.515067963E+0	9.315472124E-3	397.421739711E-6	-4.353326932E-6	300.003400000E+0
395.913547039E+0	-290.000000000E-9	-30.296614707E-6	-753.664056667E-6	33.391952441E-9	3.587456222E-6	104.471085195E+0	2.598841575E+3	115.144663591E-3	12.370538696E+0	9.698377486E-3	370.573636873E-6	-4.353326932E-6	300.002200000E+0
401.460759640E+0	-280.000000000E-9	-29.280115120E-6	-728.106926667E-6	38.643083943E-9	4.374282636E-6	104.571839714E+0	2.600381881E+3	138.011014082E-3	15.622437986E+0	9.837682308E-3	391.280241561E-6	-4.353326932E-6	300.001900000E+0
407.531002998E+0	-270.000000000E-9	-28.059340117E-6	-704.268370000E-6	68.811027104E-9	5.016623213E-6	103.923481914E+0	2.608401370E+3	254.855655939E-3	18.580085974E+0	8.191517661E-3	419.488484132E-6	-4.353326932E-6	299.999500000E+0
413.060837269E+0	-260.000000000E-9	-26.875260693E-6	-677.806693333E-6	48.040954450E-9	4.813042732E-6	103.366387282E+0	2.606948821E+3	184.772901732E-3	18.511702816E+0	8.445379426E-3	377.905002996E-6	-4.353326932E-6	300.001600000E+0
