[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201201 17:53:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
234.986124516E+0	-6.300000191E+0	-1.908915100E-6	190.229144944E-12	3.300304026E+6	328.885246396E+0	-1.617377920E+0	-794.387552267E-3	362.478589950E-6	228.413257239E-6	847.275984144E+3	416.146088564E+3	189.887224398E+0	119.656058690E+0	400.002700000E+0
241.319715023E+0	-6.199999809E+0	-1.877296400E-6	272.816295398E-12	3.302621690E+6	479.950323548E+0	-1.590823199E+0	-781.174511300E-3	344.138478596E-6	200.759327566E-6	847.401187687E+3	416.116768402E+3	183.316006251E+0	106.940666144E+0	400.002700000E+0
247.641888618E+0	-6.099999905E+0	-1.845960767E-6	204.567783781E-12	3.304512217E+6	366.203200421E+0	-1.564202364E+0	-767.756622567E-3	442.800734358E-6	255.190248368E-6	847.364901742E+3	415.911668563E+3	239.875485088E+0	138.242509254E+0	400.005700000E+0
254.175205708E+0	-6.000000000E+0	-1.814141900E-6	155.290906100E-12	3.307348780E+6	283.109710910E+0	-1.537603402E+0	-754.601505767E-3	322.679196691E-6	233.310612822E-6	847.565122846E+3	415.955061601E+3	177.868774593E+0	128.606595119E+0	400.005700000E+0
260.514300823E+0	-5.900000095E+0	-1.782276533E-6	151.097760848E-12	3.310372989E+6	280.646654375E+0	-1.510781057E+0	-741.311643967E-3	317.615440680E-6	228.907421799E-6	847.669275265E+3	415.935254772E+3	178.207721832E+0	128.435412529E+0	400.005700000E+0
266.841382504E+0	-5.800000191E+0	-1.750964600E-6	214.906491293E-12	3.312459995E+6	406.558279445E+0	-1.484299438E+0	-728.297457433E-3	408.841405005E-6	249.031167773E-6	847.703852874E+3	415.940709157E+3	233.494957582E+0	142.225129950E+0	400.005700000E+0
273.170353413E+0	-5.699999809E+0	-1.719274967E-6	202.243704703E-12	3.315350901E+6	389.995120934E+0	-1.457784084E+0	-715.154322900E-3	361.995597274E-6	195.481421673E-6	847.906304846E+3	415.962738227E+3	210.551310461E+0	113.699917385E+0	400.005700000E+0
279.507430077E+0	-5.599999905E+0	-1.687176200E-6	131.542152678E-12	3.319155346E+6	258.780819302E+0	-1.431277006E+0	-701.938950800E-3	465.921993808E-6	198.507992348E-6	848.326930129E+3	416.043653769E+3	276.154911270E+0	117.656942024E+0	400.005700000E+0
285.828211784E+0	-5.500000000E+0	-1.655327167E-6	147.961570811E-12	3.322606015E+6	296.991443744E+0	-1.404707869E+0	-688.686045400E-3	328.246586182E-6	218.596118255E-6	848.598329857E+3	416.042253923E+3	198.297105728E+0	132.056141322E+0	400.005700000E+0
292.163332939E+0	-5.400000095E+0	-1.623801167E-6	157.673185207E-12	3.325530370E+6	322.913283215E+0	-1.377993157E+0	-675.466271167E-3	345.061857836E-6	215.092152324E-6	848.621854051E+3	415.978436912E+3	212.502531048E+0	132.462124514E+0	400.005700000E+0
298.494341373E+0	-5.300000191E+0	-1.591893400E-6	118.962932506E-12	3.329368782E+6	248.805274108E+0	-1.351545944E+0	-662.294278833E-3	328.048911447E-6	188.843647197E-6	849.017870376E+3	416.041852321E+3	206.074672743E+0	118.628324734E+0	400.005700000E+0
304.819807053E+0	-5.199999809E+0	-1.560413733E-6	153.084590844E-12	3.332449400E+6	326.930378782E+0	-1.325026458E+0	-649.159255333E-3	338.360262212E-6	237.972505521E-6	849.150728230E+3	416.017394276E+3	216.840095023E+0	152.506031213E+0	400.005700000E+0
