[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 16:21:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
364.170752048E+0	2.200000048E+0	310.966226667E-12	23.494070126E-12	7.074723423E+9	534.508361290E+6
367.158389568E+0	2.299999952E+0	316.156236667E-12	20.784707443E-12	7.274884015E+9	478.264599562E+6
370.132222176E+0	2.400000095E+0	340.678556667E-12	15.524552938E-12	7.044764187E+9	321.026411611E+6
373.113548756E+0	2.500000000E+0	343.571523333E-12	18.096752589E-12	7.276505270E+9	383.271332557E+6
376.097295761E+0	2.599999905E+0	357.594806667E-12	18.476914735E-12	7.270798838E+9	375.681994461E+6
379.081065655E+0	2.700000048E+0	379.538683333E-12	13.116029788E-12	7.113899495E+9	245.840863615E+6
382.056393623E+0	2.799999952E+0	390.818876667E-12	13.569227797E-12	7.164443991E+9	248.749429338E+6
385.036889553E+0	2.900000095E+0	403.963070000E-12	16.321690162E-12	7.178874285E+9	290.054637404E+6
388.023766518E+0	3.000000000E+0	405.240700000E-12	16.813831396E-12	7.403007645E+9	307.157998594E+6
390.998731136E+0	3.099999905E+0	421.783950000E-12	20.295231323E-12	7.349734158E+9	353.651567120E+6
393.980375290E+0	3.200000048E+0	431.358803333E-12	16.741912389E-12	7.418418317E+9	287.923901307E+6
396.963878155E+0	3.299999952E+0	452.928693333E-12	20.742973482E-12	7.285914982E+9	333.676235308E+6
399.941445351E+0	3.400000095E+0	462.737013333E-12	20.091602288E-12	7.347586204E+9	319.025224992E+6
402.927567005E+0	3.500000000E+0	477.143326667E-12	17.923752880E-12	7.335322123E+9	275.549281912E+6
405.908231735E+0	3.599999905E+0	489.856833333E-12	20.756933296E-12	7.349085814E+9	311.406259219E+6
408.892546177E+0	3.700000048E+0	507.780170000E-12	17.447930325E-12	7.286617844E+9	250.376851961E+6
411.875022411E+0	3.799999952E+0	521.132653333E-12	17.113805797E-12	7.291809346E+9	239.460352884E+6
414.854214191E+0	3.900000095E+0	528.003350000E-12	23.058553195E-12	7.386316953E+9	322.569510928E+6
