[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181214 01:19:23"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 2.200000E+1
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
1.988135166E+3	89.912000000E+0	1.000000000E-6	1.152618777E-3	122.680713333E-3	356.323176673E-9	202.139123708E-6	1.152618777E+3	122.680713326E+3	356.323176650E-3	202.139123695E+0	-4.353326932E-6
2.016381650E+3	90.921900000E+0	1.000000000E-6	1.138954558E-3	121.221626667E-3	194.842625597E-9	180.874646883E-6	1.138954558E+3	121.221626659E+3	194.842625585E-3	180.874646872E+0	-4.353326932E-6
2.044612166E+3	91.917300000E+0	1.000000000E-6	1.124660157E-3	119.900063333E-3	472.662205312E-9	166.712251548E-6	1.124660157E+3	119.900063326E+3	472.662205283E-3	166.712251537E+0	-4.353326932E-6
2.072046271E+3	92.894400000E+0	1.000000000E-6	1.111598997E-3	118.441076667E-3	295.229404331E-9	134.339440593E-6	1.111598997E+3	118.441076659E+3	295.229404313E-3	134.339440585E+0	-4.353326932E-6
2.100440408E+3	93.936700000E+0	1.000000000E-6	1.098462259E-3	117.312330000E-3	258.965014065E-9	117.148223676E-6	1.098462259E+3	117.312329993E+3	258.965014049E-3	117.148223668E+0	-4.353326932E-6
2.128503496E+3	94.907600000E+0	1.000000000E-6	1.085950572E-3	116.138423333E-3	263.193298587E-9	85.187516016E-6	1.085950572E+3	116.138423326E+3	263.193298571E-3	85.187516011E+0	-4.353326932E-6
2.156853145E+3	95.932600000E+0	1.000000000E-6	1.073895864E-3	114.525630000E-3	281.410575782E-9	125.737644625E-6	1.073895864E+3	114.525629993E+3	281.410575765E-3	125.737644617E+0	-4.353326932E-6
2.185048582E+3	96.928700000E+0	1.000000000E-6	1.062130344E-3	113.240016667E-3	435.782731150E-9	137.037279306E-6	1.062130344E+3	113.240016660E+3	435.782731123E-3	137.037279297E+0	-4.353326932E-6
2.213119558E+3	97.918700000E+0	1.000000000E-6	1.050618100E-3	112.103126667E-3	239.637218074E-9	159.734913881E-6	1.050618100E+3	112.103126660E+3	239.637218059E-3	159.734913871E+0	-4.353326932E-6
2.241617374E+3	98.933000000E+0	1.000000000E-6	1.039889752E-3	111.096603333E-3	214.177666711E-9	188.657636425E-6	1.039889752E+3	111.096603326E+3	214.177666698E-3	188.657636414E+0	-4.353326932E-6
2.269818883E+3	99.925300000E+0	1.000000000E-6	1.030180283E-3	109.775496667E-3	291.915861814E-9	115.904242531E-6	1.030180283E+3	109.775496660E+3	291.915861796E-3	115.904242524E+0	-4.353326932E-6
2.296994863E+3	100.897000000E+0	1.000000000E-6	1.020330924E-3	108.227683333E-3	303.285867340E-9	127.446924946E-6	1.020330924E+3	108.227683327E+3	303.285867321E-3	127.446924938E+0	-4.353326932E-6
2.325448845E+3	101.932300000E+0	1.000000000E-6	1.007983283E-3	106.793666667E-3	308.382952997E-9	174.789618040E-6	1.007983283E+3	106.793666660E+3	308.382952977E-3	174.789618030E+0	-4.353326932E-6
2.353748333E+3	102.929600000E+0	1.000000000E-6	997.126769700E-6	105.610593333E-3	272.044286759E-9	225.957749992E-6	997.126769638E+0	105.610593327E+3	272.044286742E-3	225.957749978E+0	-4.353326932E-6
2.382349343E+3	103.931600000E+0	1.000000000E-6	985.984818433E-6	104.346550000E-3	281.331536199E-9	179.540309085E-6	985.984818372E+0	104.346549994E+3	281.331536182E-3	179.540309073E+0	-4.353326932E-6
