[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181213 13:44:14"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
4.669718838E+3	188.051100000E+0	1.000000000E-6	478.306497533E-6	24.367316167E-3	111.523278038E-9	85.447071001E-6	478.306497504E+0	24.367316165E+3	111.523278031E-3	85.447070996E+0	-4.353326932E-6
4.711219727E+3	187.052500000E+0	1.000000000E-6	482.870060233E-6	24.514595500E-3	160.384952174E-9	74.828007352E-6	482.870060203E+0	24.514595498E+3	160.384952164E-3	74.828007347E+0	-4.353326932E-6
4.752890753E+3	186.050800000E+0	1.000000000E-6	487.622735933E-6	24.635062167E-3	143.103240875E-9	79.251622617E-6	487.622735903E+0	24.635062165E+3	143.103240866E-3	79.251622612E+0	-4.353326932E-6
4.793490362E+3	185.103400000E+0	1.000000000E-6	493.112165100E-6	24.454213667E-3	145.733871984E-9	67.059001539E-6	493.112165069E+0	24.454213665E+3	145.733871975E-3	67.059001534E+0	-4.353326932E-6
4.834715755E+3	184.059800000E+0	1.000000000E-6	498.067720933E-6	24.646270667E-3	150.211879051E-9	84.148977705E-6	498.067720902E+0	24.646270665E+3	150.211879042E-3	84.148977699E+0	-4.353326932E-6
4.876492735E+3	183.049400000E+0	1.000000000E-6	502.970601617E-6	24.709516667E-3	147.706235925E-9	72.992693878E-6	502.970601585E+0	24.709516665E+3	147.706235915E-3	72.992693873E+0	-4.353326932E-6
4.918022432E+3	182.054600000E+0	1.000000000E-6	507.813311900E-6	24.817663167E-3	204.998063651E-9	141.840883131E-6	507.813311868E+0	24.817663165E+3	204.998063638E-3	141.840883122E+0	-4.353326932E-6
4.958573648E+3	181.089400000E+0	1.000000000E-6	512.608884233E-6	24.890747167E-3	189.555855412E-9	49.297406596E-6	512.608884201E+0	24.890747165E+3	189.555855400E-3	49.297406593E+0	-4.353326932E-6
5.000168915E+3	180.051800000E+0	1.000000000E-6	517.618468800E-6	25.145429333E-3	179.406124263E-9	54.558884875E-6	517.618468768E+0	25.145429332E+3	179.406124252E-3	54.558884872E+0	-4.353326932E-6
5.040818743E+3	179.071200000E+0	1.000000000E-6	522.418773117E-6	25.280065667E-3	180.896082537E-9	58.378676004E-6	522.418773084E+0	25.280065665E+3	180.896082526E-3	58.378676000E+0	-4.353326932E-6
5.081255298E+3	178.080900000E+0	1.000000000E-6	527.672866800E-6	24.796400167E-3	189.122683706E-9	56.148536646E-6	527.672866767E+0	24.796400165E+3	189.122683694E-3	56.148536642E+0	-4.353326932E-6
5.121770241E+3	177.105100000E+0	1.000000000E-6	532.421710950E-6	25.257086333E-3	172.619607412E-9	88.727768645E-6	532.421710917E+0	25.257086332E+3	172.619607401E-3	88.727768640E+0	-4.353326932E-6
5.163385223E+3	176.057800000E+0	1.000000000E-6	537.545285367E-6	25.844243167E-3	168.924368418E-9	47.178602695E-6	537.545285333E+0	25.844243165E+3	168.924368408E-3	47.178602693E+0	-4.353326932E-6
5.204790105E+3	175.058800000E+0	1.000000000E-6	542.533237633E-6	26.185349167E-3	185.068060194E-9	127.038832138E-6	542.533237600E+0	26.185349165E+3	185.068060183E-3	127.038832130E+0	-4.353326932E-6
5.245228221E+3	174.085400000E+0	1.000000000E-6	547.819661967E-6	25.903167833E-3	208.812181339E-9	43.141699647E-6	547.819661933E+0	25.903167832E+3	208.812181326E-3	43.141699644E+0	-4.353326932E-6
5.285820911E+3	173.091900000E+0	1.000000000E-6	552.869237867E-6	26.083362167E-3	141.536936622E-9	38.329446201E-6	552.869237832E+0	26.083362165E+3	141.536936613E-3	38.329446199E+0	-4.353326932E-6
5.327251048E+3	172.055200000E+0	1.000000000E-6	558.161207217E-6	26.169498333E-3	143.677639803E-9	53.530770781E-6	558.161207182E+0	26.169498332E+3	143.677639794E-3	53.530770778E+0	-4.353326932E-6
5.367775912E+3	171.094800000E+0	1.000000000E-6	563.256377667E-6	26.284225500E-3	174.841964991E-9	68.580952837E-6	563.256377632E+0	26.284225498E+3	174.841964980E-3	68.580952833E+0	-4.353326932E-6
5.408185246E+3	170.095600000E+0	1.000000000E-6	568.366302883E-6	26.514444667E-3	202.067888415E-9	54.669378132E-6	568.366302848E+0	26.514444665E+3	202.067888402E-3	54.669378128E+0	-4.353326932E-6
5.448601870E+3	169.098500000E+0	1.000000000E-6	573.862293367E-6	26.533324667E-3	237.445380408E-9	47.849850046E-6	573.862293331E+0	26.533324665E+3	237.445380393E-3	47.849850043E+0	-4.353326932E-6
5.489158491E+3	168.081600000E+0	1.000000000E-6	579.112940233E-6	26.679002500E-3	247.411400684E-9	52.279814356E-6	579.112940197E+0	26.679002498E+3	247.411400669E-3	52.279814353E+0	-4.353326932E-6
5.529551486E+3	167.099500000E+0	1.000000000E-6	584.284960683E-6	26.891901667E-3	197.399696834E-9	40.948665968E-6	584.284960647E+0	26.891901665E+3	197.399696822E-3	40.948665966E+0	-4.353326932E-6
5.569965206E+3	166.099800000E+0	1.000000000E-6	589.594726417E-6	27.015968667E-3	192.871706352E-9	64.643974908E-6	589.594726380E+0	27.015968665E+3	192.871706340E-3	64.643974904E+0	-4.353326932E-6
5.611399710E+3	165.050700000E+0	1.000000000E-6	594.938231917E-6	27.625265667E-3	184.305421608E-9	46.170810590E-6	594.938231880E+0	27.625265665E+3	184.305421597E-3	46.170810588E+0	-4.353326932E-6
5.651919422E+3	164.085900000E+0	1.000000000E-6	600.844081067E-6	27.191774333E-3	148.147618174E-9	118.925168992E-6	600.844081029E+0	27.191774332E+3	148.147618165E-3	118.925168985E+0	-4.353326932E-6
5.693432971E+3	163.051100000E+0	1.000000000E-6	606.637219450E-6	27.427941333E-3	174.290764772E-9	60.725155921E-6	606.637219412E+0	27.427941332E+3	174.290764761E-3	60.725155917E+0	-4.353326932E-6
5.733922649E+3	162.100600000E+0	1.000000000E-6	615.826548617E-6	18.193446500E-3	188.290032170E-9	141.691933745E-6	615.826548578E+0	18.193446499E+3	188.290032158E-3	141.691933736E+0	-4.353326932E-6
5.774247812E+3	161.099500000E+0	1.000000000E-6	621.197722850E-6	19.108382167E-3	161.192959534E-9	82.415108369E-6	621.197722811E+0	19.108382165E+3	161.192959524E-3	82.415108364E+0	-4.353326932E-6
5.814809679E+3	160.091400000E+0	1.000000000E-6	626.677230117E-6	19.580150167E-3	272.440057405E-9	66.106800813E-6	626.677230078E+0	19.580150165E+3	272.440057388E-3	66.106800809E+0	-4.353326932E-6
5.855077150E+3	159.093400000E+0	1.000000000E-6	630.871738583E-6	20.347840833E-3	212.049553695E-9	210.329793864E-6	630.871738544E+0	20.347840832E+3	212.049553682E-3	210.329793851E+0	-4.353326932E-6
5.895513751E+3	158.087400000E+0	1.000000000E-6	636.690380783E-6	20.201162667E-3	259.339737407E-9	81.469559184E-6	636.690380744E+0	20.201162665E+3	259.339737391E-3	81.469559178E+0	-4.353326932E-6
5.937024829E+3	157.055100000E+0	1.000000000E-6	642.580499250E-6	20.556259333E-3	247.606679140E-9	102.190681039E-6	642.580499210E+0	20.556259332E+3	247.606679125E-3	102.190681033E+0	-4.353326932E-6
5.977427602E+3	156.095500000E+0	1.000000000E-6	647.998889967E-6	20.736219167E-3	190.532611377E-9	129.156376507E-6	647.998889926E+0	20.736219165E+3	190.532611365E-3	129.156376499E+0	-4.353326932E-6
6.017796677E+3	155.086400000E+0	1.000000000E-6	654.016347150E-6	20.977788667E-3	218.437643531E-9	144.206247604E-6	654.016347109E+0	20.977788665E+3	218.437643517E-3	144.206247595E+0	-4.353326932E-6
6.058279330E+3	154.102200000E+0	1.000000000E-6	659.491591817E-6	22.057558000E-3	201.466283167E-9	147.930024293E-6	659.491591776E+0	22.057557999E+3	201.466283155E-3	147.930024284E+0	-4.353326932E-6
6.098703333E+3	153.092000000E+0	1.000000000E-6	665.085457717E-6	22.944812333E-3	182.919731402E-9	88.376418927E-6	665.085457675E+0	22.944812332E+3	182.919731390E-3	88.376418921E+0	-4.353326932E-6
6.139099864E+3	152.085500000E+0	1.000000000E-6	671.026667050E-6	23.491332167E-3	310.099685642E-9	244.006489070E-6	671.026667008E+0	23.491332165E+3	310.099685623E-3	244.006489055E+0	-4.353326932E-6
6.179578581E+3	151.090200000E+0	1.000000000E-6	677.079703800E-6	24.097768333E-3	270.834422084E-9	139.271792776E-6	677.079703758E+0	24.097768332E+3	270.834422067E-3	139.271792767E+0	-4.353326932E-6
6.221002359E+3	150.062600000E+0	1.000000000E-6	682.181861933E-6	25.533228500E-3	210.609156707E-9	149.287675870E-6	682.181861891E+0	25.533228498E+3	210.609156694E-3	149.287675860E+0	-4.353326932E-6
6.261452752E+3	149.080300000E+0	1.000000000E-6	688.149402500E-6	25.661686667E-3	207.060345442E-9	87.832890920E-6	688.149402457E+0	25.661686665E+3	207.060345429E-3	87.832890914E+0	-4.353326932E-6
6.301973388E+3	148.091000000E+0	1.000000000E-6	694.088919983E-6	26.321562167E-3	201.864819402E-9	83.394600176E-6	694.088919940E+0	26.321562165E+3	201.864819390E-3	83.394600171E+0	-4.353326932E-6
6.343396778E+3	147.049700000E+0	1.000000000E-6	700.526066050E-6	26.691421833E-3	171.971123267E-9	76.843492556E-6	700.526066006E+0	26.691421832E+3	171.971123256E-3	76.843492551E+0	-4.353326932E-6
6.383851417E+3	146.089700000E+0	1.000000000E-6	706.131135667E-6	28.774704167E-3	224.014050971E-9	78.168599052E-6	706.131135623E+0	28.774704165E+3	224.014050957E-3	78.168599048E+0	-4.353326932E-6
6.424219597E+3	145.103400000E+0	1.000000000E-6	712.497064650E-6	29.261612667E-3	182.989488771E-9	148.341995431E-6	712.497064606E+0	29.261612665E+3	182.989488760E-3	148.341995422E+0	-4.353326932E-6
6.464813397E+3	144.085400000E+0	1.000000000E-6	718.972150500E-6	30.151363500E-3	254.472440177E-9	235.282668159E-6	718.972150455E+0	30.151363498E+3	254.472440162E-3	235.282668145E+0	-4.353326932E-6
6.505217743E+3	143.095800000E+0	1.000000000E-6	724.342266467E-6	31.714917833E-3	213.813579173E-9	62.603592432E-6	724.342266422E+0	31.714917831E+3	213.813579160E-3	62.603592428E+0	-4.353326932E-6
6.546650826E+3	142.051300000E+0	1.000000000E-6	731.423500467E-6	32.021312167E-3	286.859483398E-9	50.437105663E-6	731.423500421E+0	32.021312165E+3	286.859483380E-3	50.437105660E+0	-4.353326932E-6
6.587135181E+3	141.073700000E+0	1.000000000E-6	738.254026817E-6	32.831291833E-3	256.189224613E-9	55.186319524E-6	738.254026771E+0	32.831291831E+3	256.189224598E-3	55.186319521E+0	-4.353326932E-6
6.627608293E+3	140.087300000E+0	1.000000000E-6	745.135617400E-6	33.332216500E-3	322.318025414E-9	63.339051005E-6	745.135617354E+0	33.332216498E+3	322.318025394E-3	63.339051001E+0	-4.353326932E-6
6.667856961E+3	139.100600000E+0	1.000000000E-6	752.331640567E-6	33.696062167E-3	206.949416764E-9	79.103602866E-6	752.331640520E+0	33.696062165E+3	206.949416751E-3	79.103602861E+0	-4.353326932E-6
6.708529387E+3	138.078600000E+0	1.000000000E-6	759.493854183E-6	34.048920500E-3	259.029053744E-9	71.616823228E-6	759.493854136E+0	34.048920498E+3	259.029053727E-3	71.616823224E+0	-4.353326932E-6
6.748675907E+3	137.088900000E+0	1.000000000E-6	766.333945283E-6	34.379459000E-3	250.824713249E-9	67.590951751E-6	766.333945236E+0	34.379458998E+3	250.824713233E-3	67.590951747E+0	-4.353326932E-6
6.788952345E+3	136.095100000E+0	1.000000000E-6	772.418571083E-6	34.805191500E-3	252.905860329E-9	65.505618596E-6	772.418571035E+0	34.805191498E+3	252.905860313E-3	65.505618592E+0	-4.353326932E-6
6.829499674E+3	135.090800000E+0	1.000000000E-6	779.662404283E-6	35.262264000E-3	339.712604942E-9	72.709512581E-6	779.662404235E+0	35.262263998E+3	339.712604921E-3	72.709512577E+0	-4.353326932E-6
6.870003317E+3	134.103600000E+0	1.000000000E-6	787.406243800E-6	35.375061667E-3	295.708800147E-9	81.015144469E-6	787.406243751E+0	35.375061664E+3	295.708800129E-3	81.015144464E+0	-4.353326932E-6
6.910490627E+3	133.101800000E+0	1.000000000E-6	795.150947850E-6	35.666298333E-3	273.163026208E-9	60.597146629E-6	795.150947801E+0	35.666298331E+3	273.163026191E-3	60.597146625E+0	-4.353326932E-6
6.951942970E+3	132.066300000E+0	1.000000000E-6	803.438048250E-6	36.237871500E-3	277.708809451E-9	66.595557034E-6	803.438048200E+0	36.237871498E+3	277.708809434E-3	66.595557030E+0	-4.353326932E-6
6.993493186E+3	131.073500000E+0	1.000000000E-6	811.082772950E-6	36.368659833E-3	254.537577237E-9	82.163509638E-6	811.082772900E+0	36.368659831E+3	254.537577222E-3	82.163509633E+0	-4.353326932E-6
7.034079693E+3	130.102200000E+0	1.000000000E-6	818.715754383E-6	36.773889000E-3	246.084489693E-9	60.690718263E-6	818.715754332E+0	36.773888998E+3	246.084489678E-3	60.690718259E+0	-4.353326932E-6
7.074670334E+3	129.075200000E+0	1.000000000E-6	827.044984750E-6	37.538240667E-3	369.832557919E-9	129.685974374E-6	827.044984699E+0	37.538240664E+3	369.832557896E-3	129.685974366E+0	-4.353326932E-6
7.115109629E+3	128.080600000E+0	1.000000000E-6	836.271087467E-6	37.835356000E-3	297.200700359E-9	94.255767085E-6	836.271087415E+0	37.835355998E+3	297.200700341E-3	94.255767079E+0	-4.353326932E-6
7.155392298E+3	127.089000000E+0	1.000000000E-6	839.864448017E-6	49.251129333E-3	327.329037187E-9	121.184317278E-6	839.864447964E+0	49.251129330E+3	327.329037167E-3	121.184317270E+0	-4.353326932E-6
7.195799949E+3	126.092300000E+0	1.000000000E-6	848.245538550E-6	49.836370000E-3	314.850479655E-9	140.510072168E-6	848.245538497E+0	49.836369997E+3	314.850479636E-3	140.510072159E+0	-4.353326932E-6
7.236172946E+3	125.085900000E+0	1.000000000E-6	856.039994017E-6	50.512459833E-3	297.177154503E-9	198.396449556E-6	856.039993963E+0	50.512459830E+3	297.177154484E-3	198.396449544E+0	-4.353326932E-6
7.277688789E+3	124.046900000E+0	1.000000000E-6	864.452167167E-6	51.056752167E-3	392.468110487E-9	199.555685300E-6	864.452167113E+0	51.056752163E+3	392.468110462E-3	199.555685288E+0	-4.353326932E-6
7.318138474E+3	123.089000000E+0	1.000000000E-6	872.331504017E-6	51.779084167E-3	450.517724943E-9	163.887201017E-6	872.331503962E+0	51.779084163E+3	450.517724915E-3	163.887201007E+0	-4.353326932E-6
7.358806109E+3	122.090800000E+0	1.000000000E-6	880.370540783E-6	54.820213167E-3	325.321004383E-9	145.231502815E-6	880.370540729E+0	54.820213163E+3	325.321004363E-3	145.231502806E+0	-4.353326932E-6
7.400349217E+3	121.051500000E+0	1.000000000E-6	889.062242433E-6	55.594915167E-3	286.284229820E-9	137.037772759E-6	889.062242378E+0	55.594915163E+3	286.284229802E-3	137.037772751E+0	-4.353326932E-6
7.440800633E+3	120.106400000E+0	1.000000000E-6	896.742003050E-6	57.628868500E-3	423.122483679E-9	165.389201516E-6	896.742002994E+0	57.628868496E+3	423.122483652E-3	165.389201506E+0	-4.353326932E-6
7.482280683E+3	119.083300000E+0	1.000000000E-6	905.675021333E-6	59.953970000E-3	252.654826946E-9	167.799134984E-6	905.675021277E+0	59.953969996E+3	252.654826931E-3	167.799134974E+0	-4.353326932E-6
7.523714713E+3	118.082100000E+0	1.000000000E-6	915.024642633E-6	62.986330167E-3	358.973449874E-9	1.175898937E-3	915.024642576E+0	62.986330163E+3	358.973449852E-3	1.175898937E+3	-4.353326932E-6
7.565258545E+3	117.069500000E+0	1.000000000E-6	923.779325617E-6	66.966935500E-3	307.110010722E-9	210.199968657E-6	923.779325559E+0	66.966935496E+3	307.110010703E-3	210.199968644E+0	-4.353326932E-6
7.605875178E+3	116.074600000E+0	1.000000000E-6	932.375991350E-6	68.381033333E-3	325.643063735E-9	396.110330799E-6	932.375991292E+0	68.381033329E+3	325.643063714E-3	396.110330774E+0	-4.353326932E-6
7.646349024E+3	115.074400000E+0	1.000000000E-6	941.260406117E-6	69.969780167E-3	415.759194808E-9	250.819137826E-6	941.260406058E+0	69.969780162E+3	415.759194782E-3	250.819137811E+0	-4.353326932E-6
7.686767150E+3	114.077300000E+0	1.000000000E-6	947.584839817E-6	80.379595167E-3	485.367956384E-9	313.486110273E-6	947.584839758E+0	80.379595162E+3	485.367956354E-3	313.486110254E+0	-4.353326932E-6
7.727138488E+3	113.070000000E+0	1.000000000E-6	957.147056833E-6	81.302627667E-3	366.812095894E-9	414.356518254E-6	957.147056774E+0	81.302627662E+3	366.812095872E-3	414.356518228E+0	-4.353326932E-6
7.768644602E+3	112.045800000E+0	1.000000000E-6	967.535773933E-6	82.383888167E-3	367.526383574E-9	369.416679039E-6	967.535773873E+0	82.383888162E+3	367.526383552E-3	369.416679016E+0	-4.353326932E-6
7.810126505E+3	111.046100000E+0	1.000000000E-6	977.365115283E-6	83.357752500E-3	454.272785684E-9	428.992811500E-6	977.365115223E+0	83.357752495E+3	454.272785656E-3	428.992811473E+0	-4.353326932E-6
7.850666635E+3	110.095600000E+0	1.000000000E-6	987.257771467E-6	84.086047167E-3	397.167985129E-9	1.408526816E-3	987.257771405E+0	84.086047161E+3	397.167985104E-3	1.408526816E+3	-4.353326932E-6
7.891078740E+3	109.097400000E+0	1.000000000E-6	996.917534100E-6	87.737692833E-3	429.495879981E-9	403.569641312E-6	996.917534038E+0	87.737692828E+3	429.495879955E-3	403.569641287E+0	-4.353326932E-6
7.931638326E+3	108.099200000E+0	1.000000000E-6	1.006074545E-3	89.063570667E-3	348.304470396E-9	489.657207312E-6	1.006074545E+3	89.063570661E+3	348.304470375E-3	489.657207282E+0	-4.353326932E-6
7.972183427E+3	107.105100000E+0	1.000000000E-6	1.017210397E-3	89.857584667E-3	351.940921004E-9	391.520791594E-6	1.017210397E+3	89.857584661E+3	351.940920983E-3	391.520791570E+0	-4.353326932E-6
8.012713943E+3	106.108400000E+0	1.000000000E-6	1.027404808E-3	90.777786500E-3	355.014624708E-9	331.829667589E-6	1.027404808E+3	90.777786494E+3	355.014624686E-3	331.829667569E+0	-4.353326932E-6
8.053141171E+3	105.103900000E+0	1.000000000E-6	1.038193266E-3	91.868456000E-3	291.033634905E-9	355.921774306E-6	1.038193266E+3	91.868455994E+3	291.033634887E-3	355.921774284E+0	-4.353326932E-6
8.093579428E+3	104.084800000E+0	1.000000000E-6	1.049031352E-3	93.135191667E-3	351.581306844E-9	453.409780735E-6	1.049031352E+3	93.135191661E+3	351.581306822E-3	453.409780706E+0	-4.353326932E-6
8.133940110E+3	103.066600000E+0	1.000000000E-6	1.060067880E-3	94.519493833E-3	375.325356487E-9	345.692366320E-6	1.060067880E+3	94.519493827E+3	375.325356463E-3	345.692366298E+0	-4.353326932E-6
8.174152275E+3	102.076800000E+0	1.000000000E-6	1.071069201E-3	95.803639333E-3	503.070846931E-9	375.023498481E-6	1.071069201E+3	95.803639327E+3	503.070846900E-3	375.023498457E+0	-4.353326932E-6
8.215579721E+3	101.049900000E+0	1.000000000E-6	1.082604074E-3	97.049564167E-3	407.217754120E-9	347.389310936E-6	1.082604074E+3	97.049564161E+3	407.217754095E-3	347.389310914E+0	-4.353326932E-6
8.256905873E+3	100.039600000E+0	1.000000000E-6	1.094056859E-3	98.744991833E-3	310.000885218E-9	328.595072060E-6	1.094056859E+3	98.744991827E+3	310.000885199E-3	328.595072040E+0	-4.353326932E-6
8.298117245E+3	99.037100000E+0	1.000000000E-6	1.105799102E-3	99.673986667E-3	558.278204095E-9	438.936500245E-6	1.105799102E+3	99.673986660E+3	558.278204060E-3	438.936500218E+0	-4.353326932E-6
8.338528960E+3	98.091900000E+0	1.000000000E-6	1.117536390E-3	100.948835000E-3	531.479543926E-9	404.083481147E-6	1.117536390E+3	100.948834994E+3	531.479543893E-3	404.083481122E+0	-4.353326932E-6
8.379372645E+3	97.103200000E+0	1.000000000E-6	1.129849963E-3	103.148906667E-3	371.936065682E-9	379.465082246E-6	1.129849963E+3	103.148906660E+3	371.936065659E-3	379.465082222E+0	-4.353326932E-6
8.420453675E+3	96.076500000E+0	1.000000000E-6	1.142862993E-3	104.694088333E-3	418.791130331E-9	345.972973714E-6	1.142862993E+3	104.694088327E+3	418.791130305E-3	345.972973692E+0	-4.353326932E-6
8.461663487E+3	95.036900000E+0	1.000000000E-6	1.155903459E-3	105.951531667E-3	324.137156983E-9	390.420049198E-6	1.155903459E+3	105.951531660E+3	324.137156962E-3	390.420049174E+0	-4.353326932E-6
8.501937593E+3	94.070000000E+0	1.000000000E-6	1.168886967E-3	107.292618333E-3	416.912750534E-9	268.542033033E-6	1.168886967E+3	107.292618327E+3	416.912750508E-3	268.542033017E+0	-4.353326932E-6
8.542106857E+3	93.076100000E+0	1.000000000E-6	1.181830970E-3	108.941278333E-3	487.887087710E-9	321.205713455E-6	1.181830970E+3	108.941278327E+3	487.887087680E-3	321.205713435E+0	-4.353326932E-6
8.582153548E+3	92.099200000E+0	1.000000000E-6	1.195546101E-3	110.608531667E-3	348.095858099E-9	826.274590446E-6	1.195546101E+3	110.608531660E+3	348.095858077E-3	826.274590394E+0	-4.353326932E-6
8.623263289E+3	91.044900000E+0	1.000000000E-6	1.209836218E-3	112.641975000E-3	457.441216370E-9	287.148845719E-6	1.209836218E+3	112.641974993E+3	457.441216342E-3	287.148845701E+0	-4.353326932E-6
8.664395630E+3	90.055900000E+0	1.000000000E-6	1.223685613E-3	114.132105000E-3	410.799994703E-9	334.231591211E-6	1.223685613E+3	114.132104993E+3	410.799994677E-3	334.231591190E+0	-4.353326932E-6
8.705794924E+3	89.041500000E+0	1.000000000E-6	1.237816134E-3	115.379953333E-3	447.127602576E-9	441.089270241E-6	1.237816134E+3	115.379953326E+3	447.127602548E-3	441.089270214E+0	-4.353326932E-6
8.747143969E+3	88.047400000E+0	1.000000000E-6	1.251904475E-3	116.564771667E-3	535.538097211E-9	403.551215468E-6	1.251904475E+3	116.564771659E+3	535.538097178E-3	403.551215443E+0	-4.353326932E-6
8.788150581E+3	87.065500000E+0	1.000000000E-6	1.266022492E-3	118.380250000E-3	487.470550720E-9	237.265471426E-6	1.266022491E+3	118.380249993E+3	487.470550690E-3	237.265471411E+0	-4.353326932E-6
8.829188010E+3	86.079700000E+0	1.000000000E-6	1.280282887E-3	119.788061667E-3	484.145247084E-9	211.338127534E-6	1.280282887E+3	119.788061659E+3	484.145247054E-3	211.338127521E+0	-4.353326932E-6
8.870312562E+3	85.096000000E+0	1.000000000E-6	1.294975794E-3	121.852731667E-3	420.576618530E-9	331.027313263E-6	1.294975794E+3	121.852731659E+3	420.576618504E-3	331.027313243E+0	-4.353326932E-6
8.911524397E+3	84.091000000E+0	1.000000000E-6	1.310602899E-3	123.519613333E-3	493.708132483E-9	192.000170498E-6	1.310602899E+3	123.519613326E+3	493.708132453E-3	192.000170486E+0	-4.353326932E-6
8.952670659E+3	83.077900000E+0	1.000000000E-6	1.326289911E-3	125.698691667E-3	521.426116316E-9	213.847360780E-6	1.326289911E+3	125.698691659E+3	521.426116284E-3	213.847360767E+0	-4.353326932E-6
8.993903215E+3	82.098300000E+0	1.000000000E-6	1.341865789E-3	127.470101667E-3	453.155119032E-9	233.170685471E-6	1.341865789E+3	127.470101659E+3	453.155119003E-3	233.170685457E+0	-4.353326932E-6
9.034699454E+3	81.087100000E+0	1.000000000E-6	1.358635588E-3	128.927113333E-3	506.700492720E-9	208.259267515E-6	1.358635588E+3	128.927113325E+3	506.700492689E-3	208.259267502E+0	-4.353326932E-6
9.075714184E+3	80.047500000E+0	1.000000000E-6	1.376000315E-3	130.109611667E-3	537.615851650E-9	177.993372374E-6	1.376000315E+3	130.109611659E+3	537.615851617E-3	177.993372363E+0	-4.353326932E-6
9.117236175E+3	79.058000000E+0	1.000000000E-6	1.392429130E-3	131.798015000E-3	482.295215786E-9	145.456900636E-6	1.392429130E+3	131.798014992E+3	482.295215756E-3	145.456900627E+0	-4.353326932E-6
9.158748074E+3	78.060600000E+0	1.000000000E-6	1.409020813E-3	133.488285000E-3	535.309110664E-9	145.794800098E-6	1.409020813E+3	133.488284992E+3	535.309110631E-3	145.794800089E+0	-4.353326932E-6
9.200248540E+3	77.053700000E+0	1.000000000E-6	1.426805074E-3	135.267333333E-3	584.305458132E-9	132.666628170E-6	1.426805074E+3	135.267333325E+3	584.305458095E-3	132.666628161E+0	-4.353326932E-6
9.241563944E+3	76.055500000E+0	1.000000000E-6	1.445082557E-3	137.699140000E-3	2.407755971E-6	173.038106228E-6	1.445082557E+3	137.699139991E+3	2.407755971E+0	173.038106217E+0	-4.353326932E-6
9.283148467E+3	75.054700000E+0	1.000000000E-6	1.463588804E-3	139.552861667E-3	673.147079550E-9	116.416482076E-6	1.463588804E+3	139.552861658E+3	673.147079509E-3	116.416482068E+0	-4.353326932E-6
9.325564394E+3	74.048900000E+0	1.000000000E-6	1.481974753E-3	141.689196667E-3	509.699287091E-9	132.423373202E-6	1.481974753E+3	141.689196658E+3	509.699287059E-3	132.423373193E+0	-4.353326932E-6
9.368011929E+3	73.077900000E+0	1.000000000E-6	1.501498177E-3	143.722975000E-3	519.862057566E-9	99.686934836E-6	1.501498177E+3	143.722974991E+3	519.862057534E-3	99.686934830E+0	-4.353326932E-6
9.411052778E+3	72.076500000E+0	1.000000000E-6	1.520652054E-3	145.523238333E-3	435.965227189E-9	188.862626381E-6	1.520652054E+3	145.523238324E+3	435.965227162E-3	188.862626370E+0	-4.353326932E-6
9.452611376E+3	71.090900000E+0	1.000000000E-6	1.540282962E-3	147.943043333E-3	487.114952960E-9	292.394904865E-6	1.540282962E+3	147.943043324E+3	487.114952930E-3	292.394904846E+0	-4.353326932E-6
9.494085397E+3	70.069800000E+0	1.000000000E-6	1.561313983E-3	149.874461667E-3	650.633317239E-9	133.806488383E-6	1.561313983E+3	149.874461657E+3	650.633317198E-3	133.806488374E+0	-4.353326932E-6
9.536090242E+3	69.037000000E+0	1.000000000E-6	1.581921803E-3	152.174411667E-3	575.150381121E-9	170.868804448E-6	1.581921803E+3	152.174411657E+3	575.150381086E-3	170.868804437E+0	-4.353326932E-6
