[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 14:19:00"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.092575126E+3	3.199996484E+0	1.000000000E-6	163.075876417E-6	-38.865620935E-6	1.215153983E-3	118.387192670E-9	240.760902559E-9	5.295889124E-6	163.075876407E+0	-38.865620933E+0	1.215153983E+3	118.387192663E-3	240.760902544E-3	5.295889124E+0	300.002800000E+0
2.134853790E+3	3.300014062E+0	1.000000000E-6	163.149568767E-6	-38.568659530E-6	1.215721050E-3	123.687027906E-9	271.866176058E-9	5.908585886E-6	163.149568757E+0	-38.568659528E+0	1.215721050E+3	123.687027898E-3	271.866176041E-3	5.908585886E+0	299.995200000E+0
2.177117531E+3	3.400020313E+0	1.000000000E-6	163.172740750E-6	-38.493878617E-6	1.215342700E-3	125.656086019E-9	218.471756901E-9	5.594749648E-6	163.172740740E+0	-38.493878614E+0	1.215342700E+3	125.656086011E-3	218.471756888E-3	5.594749647E+0	300.001000000E+0
2.219357358E+3	3.500017188E+0	1.000000000E-6	163.205098300E-6	-38.518717260E-6	1.215698900E-3	109.180547006E-9	229.821909210E-9	6.614781339E-6	163.205098290E+0	-38.518717258E+0	1.215698900E+3	109.180546999E-3	229.821909196E-3	6.614781339E+0	300.000600000E+0
2.261642476E+3	3.600007422E+0	1.000000000E-6	163.301624800E-6	-38.321967315E-6	1.216227283E-3	120.886294144E-9	401.208169977E-9	7.379270272E-6	163.301624790E+0	-38.321967313E+0	1.216227283E+3	120.886294136E-3	401.208169952E-3	7.379270272E+0	300.001600000E+0
2.303900747E+3	3.700015234E+0	1.000000000E-6	163.314530000E-6	-38.283057672E-6	1.216100700E-3	120.421848802E-9	330.655865212E-9	6.267041195E-6	163.314529990E+0	-38.283057669E+0	1.216100700E+3	120.421848794E-3	330.655865191E-3	6.267041195E+0	300.002300000E+0
2.346174954E+3	3.800027344E+0	1.000000000E-6	163.331710050E-6	-38.117947490E-6	1.215987850E-3	99.610525802E-9	326.486067463E-9	5.787142782E-6	163.331710040E+0	-38.117947488E+0	1.215987850E+3	99.610525796E-3	326.486067443E-3	5.787142782E+0	300.000900000E+0
2.388426479E+3	3.900016016E+0	1.000000000E-6	163.380907433E-6	-38.028626822E-6	1.218726167E-3	103.798162917E-9	359.218262167E-9	5.680217303E-6	163.380907423E+0	-38.028626819E+0	1.218726167E+3	103.798162911E-3	359.218262144E-3	5.680217303E+0	300.000000000E+0
2.430732351E+3	4.000020703E+0	1.000000000E-6	163.530624400E-6	-38.201197485E-6	1.216493967E-3	128.670969924E-9	309.142868492E-9	5.238904018E-6	163.530624390E+0	-38.201197483E+0	1.216493967E+3	128.670969916E-3	309.142868472E-3	5.238904017E+0	300.002100000E+0
2.472965912E+3	4.100010156E+0	1.000000000E-6	163.548291717E-6	-38.085422830E-6	1.218279900E-3	115.671675317E-9	324.101632917E-9	6.635280541E-6	163.548291707E+0	-38.085422828E+0	1.218279900E+3	115.671675310E-3	324.101632896E-3	6.635280540E+0	300.007300000E+0
2.515222950E+3	4.200029687E+0	1.000000000E-6	163.590413483E-6	-38.060089732E-6	1.217991867E-3	114.174142854E-9	277.757267372E-9	5.146002384E-6	163.590413473E+0	-38.060089729E+0	1.217991867E+3	114.174142847E-3	277.757267355E-3	5.146002384E+0	300.003100000E+0
2.557518991E+3	4.300033594E+0	1.000000000E-6	163.626329883E-6	-37.851387432E-6	1.219048367E-3	127.416336707E-9	291.983366571E-9	5.832692719E-6	163.626329873E+0	-37.851387429E+0	1.219048367E+3	127.416336699E-3	291.983366553E-3	5.832692719E+0	299.998900000E+0
2.599746416E+3	4.400018359E+0	1.000000000E-6	163.697770967E-6	-37.885841575E-6	1.220159450E-3	109.672392884E-9	243.852279643E-9	5.306219437E-6	163.697770956E+0	-37.885841573E+0	1.220159450E+3	109.672392878E-3	243.852279628E-3	5.306219437E+0	299.994000000E+0
2.641989943E+3	4.500006641E+0	1.000000000E-6	163.724693717E-6	-37.683133597E-6	1.218204600E-3	125.828758374E-9	264.868954619E-9	5.589348171E-6	163.724693706E+0	-37.683133594E+0	1.218204600E+3	125.828758366E-3	264.868954603E-3	5.589348171E+0	299.996500000E+0
2.684321556E+3	4.600030859E+0	1.000000000E-6	163.801826600E-6	-37.707358338E-6	1.219409983E-3	118.028762297E-9	286.560261769E-9	5.371420103E-6	163.801826590E+0	-37.707358336E+0	1.219409983E+3	118.028762290E-3	286.560261751E-3	5.371420102E+0	299.998700000E+0
2.726613916E+3	4.700015234E+0	1.000000000E-6	163.836956933E-6	-37.663083252E-6	1.219388650E-3	121.084644847E-9	324.493520239E-9	5.761051335E-6	163.836956923E+0	-37.663083249E+0	1.219388650E+3	121.084644840E-3	324.493520219E-3	5.761051334E+0	300.004200000E+0
2.768851975E+3	4.800016016E+0	1.000000000E-6	163.878669850E-6	-37.743335295E-6	1.221298083E-3	132.075446116E-9	303.536374615E-9	7.142126889E-6	163.878669840E+0	-37.743335293E+0	1.221298083E+3	132.075446108E-3	303.536374596E-3	7.142126888E+0	299.999200000E+0
2.811083176E+3	4.900026562E+0	1.000000000E-6	163.931475600E-6	-37.573414277E-6	1.219903183E-3	92.116630250E-9	338.167730681E-9	7.173864939E-6	163.931475590E+0	-37.573414274E+0	1.219903183E+3	92.116630244E-3	338.167730660E-3	7.173864938E+0	300.001200000E+0
2.853356236E+3	5.000013281E+0	1.000000000E-6	163.978958383E-6	-37.508893015E-6	1.222311267E-3	115.866470158E-9	250.005935481E-9	5.247866800E-6	163.978958373E+0	-37.508893013E+0	1.222311267E+3	115.866470151E-3	250.005935466E-3	5.247866799E+0	300.004600000E+0
2.895654558E+3	5.100020312E+0	1.000000000E-6	164.046974633E-6	-37.428855067E-6	1.221949950E-3	97.807013238E-9	264.444638590E-9	6.321775380E-6	164.046974623E+0	-37.428855064E+0	1.221949950E+3	97.807013232E-3	264.444638573E-3	6.321775380E+0	299.997300000E+0
2.937891843E+3	5.200034375E+0	1.000000000E-6	164.081342117E-6	-37.310878462E-6	1.221570167E-3	108.153594173E-9	331.760220504E-9	6.292712044E-6	164.081342106E+0	-37.310878459E+0	1.221570167E+3	108.153594166E-3	331.760220483E-3	6.292712044E+0	299.994600000E+0
2.980193757E+3	5.300022656E+0	1.000000000E-6	164.165452017E-6	-37.245453625E-6	1.224129317E-3	127.673470087E-9	284.119852426E-9	6.746076396E-6	164.165452006E+0	-37.245453623E+0	1.224129317E+3	127.673470079E-3	284.119852408E-3	6.746076396E+0	299.995400000E+0
3.022474036E+3	5.400034375E+0	1.000000000E-6	164.189611667E-6	-37.253867597E-6	1.222316800E-3	121.078849094E-9	277.700684867E-9	6.811838996E-6	164.189611656E+0	-37.253867594E+0	1.222316800E+3	121.078849086E-3	277.700684850E-3	6.811838995E+0	299.994700000E+0
3.064727608E+3	5.500034375E+0	1.000000000E-6	164.283208683E-6	-37.230876782E-6	1.223697650E-3	112.323418058E-9	233.136959721E-9	6.465245158E-6	164.283208673E+0	-37.230876779E+0	1.223697650E+3	112.323418051E-3	233.136959707E-3	6.465245158E+0	299.994800000E+0
3.107125620E+3	5.600026953E+0	1.000000000E-6	164.385953633E-6	-36.995118250E-6	1.223613283E-3	112.782718447E-9	338.749749655E-9	6.338801035E-6	164.385953623E+0	-36.995118248E+0	1.223613283E+3	112.782718440E-3	338.749749634E-3	6.338801034E+0	299.994900000E+0
3.149411994E+3	5.700041797E+0	1.000000000E-6	164.453288883E-6	-37.045269362E-6	1.226273667E-3	125.839697307E-9	235.477446625E-9	5.144616507E-6	164.453288873E+0	-37.045269359E+0	1.226273667E+3	125.839697300E-3	235.477446611E-3	5.144616507E+0	299.995200000E+0
