[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
204.136875153E+0	-660.000000000E-9	-9.231256967E-3	-549.166613333E-3	3.742611045E-6	199.322868791E-6	13.986752980E+3	832.070626263E+3	5.670622795E+0	302.004346653E+0	78.155708273E-6	2.244081236E-6	-4.353326932E-6	1.999600000E+0
213.123566628E+0	-650.000000000E-9	-9.097687176E-3	-544.785233333E-3	4.942888824E-6	148.741637454E-6	13.996441810E+3	838.131128205E+3	7.604444344E+0	228.833288392E+0	74.867228211E-6	2.282385915E-6	-4.353326932E-6	1.999900000E+0
222.065126419E+0	-640.000000000E-9	-8.964764442E-3	-540.271343333E-3	4.198624861E-6	209.277882719E-6	14.007444440E+3	844.173973958E+3	6.560351345E+0	326.996691749E+0	75.231675191E-6	2.215384070E-6	-4.353326932E-6	2.000200000E+0
231.009981632E+0	-630.000000000E-9	-8.834259087E-3	-535.580770000E-3	4.135971942E-6	270.106140249E-6	14.022633471E+3	850.128206349E+3	6.565034829E+0	428.739905157E+0	76.625208215E-6	2.131935542E-6	-4.353326932E-6	2.000500000E+0
239.978222370E+0	-620.000000000E-9	-8.700656765E-3	-530.953016667E-3	3.912039919E-6	188.829100043E-6	14.033317362E+3	856.375833333E+3	6.309741804E+0	304.563064585E+0	74.848998508E-6	2.160875760E-6	-4.353326932E-6	2.000300000E+0
248.937903404E+0	-610.000000000E-9	-8.565011753E-3	-526.129220000E-3	6.003543254E-6	167.965996969E-6	14.041002873E+3	862.506918033E+3	9.841874187E+0	275.354093393E+0	73.721840948E-6	2.073055871E-6	-4.353326932E-6	1.999900000E+0
257.907388210E+0	-600.000000000E-9	-8.426039794E-3	-521.708166667E-3	6.149753167E-6	146.039501820E-6	14.043399657E+3	869.513611111E+3	10.249588611E+0	243.399169701E+0	71.956962541E-6	2.261904403E-6	-4.353326932E-6	1.999800000E+0
266.907047272E+0	-590.000000000E-9	-8.294329498E-3	-516.632670000E-3	7.803882775E-6	180.572052960E-6	14.058185589E+3	875.648593220E+3	13.226919958E+0	306.054327052E+0	75.924208305E-6	1.970250530E-6	-4.353326932E-6	2.000400000E+0
275.864043236E+0	-580.000000000E-9	-8.161631381E-3	-511.897646667E-3	8.107846422E-6	183.860822050E-6	14.071778244E+3	882.582149425E+3	13.979045556E+0	317.001417328E+0	75.359019979E-6	2.111922011E-6	-4.353326932E-6	1.999500000E+0
284.809698582E+0	-570.000000000E-9	-8.026653762E-3	-507.029356667E-3	7.313303887E-6	166.327148930E-6	14.081848705E+3	889.525187135E+3	12.830357697E+0	291.802015667E+0	74.086356311E-6	2.054109348E-6	-4.353326932E-6	1.999600000E+0
293.752900124E+0	-560.000000000E-9	-7.893280348E-3	-501.974626667E-3	6.583100289E-6	147.041983058E-6	14.095143478E+3	896.383261905E+3	11.755536230E+0	262.574969746E+0	74.977461213E-6	1.978345035E-6	-4.353326932E-6	2.000300000E+0
302.699696064E+0	-550.000000000E-9	-7.760337907E-3	-497.056923333E-3	5.959959069E-6	149.145487137E-6	14.109705285E+3	903.739860606E+3	10.836289217E+0	271.173612976E+0	75.220523633E-6	2.033469553E-6	-4.353326932E-6	2.000000000E+0
311.627210617E+0	-540.000000000E-9	-7.626828938E-3	-491.676860000E-3	6.685012057E-6	135.623099955E-6	14.123757293E+3	910.512703704E+3	12.379651957E+0	251.153888805E+0	74.901335093E-6	1.858714179E-6	-4.353326932E-6	1.999200000E+0
320.602036953E+0	-530.000000000E-9	-7.492266640E-3	-486.686893333E-3	5.540839916E-6	146.431094619E-6	14.136352150E+3	918.277157233E+3	10.454414936E+0	276.285084186E+0	74.315020619E-6	2.004021403E-6	-4.353326932E-6	1.999900000E+0
329.520192146E+0	-520.000000000E-9	-7.356911795E-3	-481.530790000E-3	5.028020601E-6	140.764967600E-6	14.147907299E+3	926.020750000E+3	9.669270386E+0	270.701860769E+0	73.879882536E-6	1.939449106E-6	-4.353326932E-6	2.000100000E+0
338.543104172E+0	-510.000000000E-9	-7.227149915E-3	-476.316430000E-3	4.077758545E-6	173.130029169E-6	14.170882187E+3	933.953784314E+3	7.995604990E+0	339.470645429E+0	77.064234889E-6	1.917780897E-6	-4.353326932E-6	2.000100000E+0
347.480019093E+0	-500.000000000E-9	-7.095097346E-3	-470.960280000E-3	5.057092361E-6	145.786394048E-6	14.190194691E+3	941.920560000E+3	10.114184723E+0	291.572788097E+0	75.727416931E-6	1.867012686E-6	-4.353326932E-6	1.999800000E+0
356.383625031E+0	-490.000000000E-9	-6.962626303E-3	-465.534120000E-3	5.618221011E-6	149.364692315E-6	14.209441435E+3	950.069632653E+3	11.465757166E+0	304.825902684E+0	75.488195750E-6	1.842923909E-6	-4.353326932E-6	2.000600000E+0
365.294079304E+0	-480.000000000E-9	-6.828392097E-3	-459.955103333E-3	3.648357418E-6	153.127304449E-6	14.225816869E+3	958.239798611E+3	7.600744621E+0	319.015217602E+0	74.496659965E-6	1.792430566E-6	-4.353326932E-6	2.000400000E+0
374.277836800E+0	-470.000000000E-9	-6.694417045E-3	-454.412493333E-3	5.391599509E-6	158.480112825E-6	14.243440521E+3	966.835092199E+3	11.471488317E+0	337.191729414E+0	74.640762222E-6	1.804204157E-6	-4.353326932E-6	1.999700000E+0
383.223738194E+0	-460.000000000E-9	-6.547051334E-3	-448.550563333E-3	5.868542593E-6	159.656362624E-6	14.232720291E+3	975.109920290E+3	12.757701289E+0	347.079049183E+0	67.858390595E-6	1.705922793E-6	-4.353326932E-6	1.999800000E+0
392.172864914E+0	-450.000000000E-9	-6.406631106E-3	-442.872143333E-3	7.828270202E-6	203.391692238E-6	14.236958014E+3	984.160318519E+3	17.396156004E+0	451.981538306E+0	71.214811355E-6	1.761053251E-6	-4.353326932E-6	1.999800000E+0
401.171481609E+0	-440.000000000E-9	-6.267737445E-3	-436.604256667E-3	7.969684763E-6	238.344813509E-6	14.244857829E+3	992.282401515E+3	18.112919915E+0	541.692757974E+0	71.997525877E-6	1.595434080E-6	-4.353326932E-6	2.000000000E+0
410.085924149E+0	-430.000000000E-9	-6.125931906E-3	-430.440350000E-3	7.872787057E-6	164.108357286E-6	14.246353271E+3	1.001024070E+6	18.308807110E+0	381.647342525E+0	70.519107487E-6	1.622347732E-6	-4.353326932E-6	2.000200000E+0
418.997955799E+0	-420.000000000E-9	-5.992858131E-3	-424.091643333E-3	7.510777172E-6	161.542992427E-6	14.268709835E+3	1.009742008E+6	17.882802790E+0	384.626172445E+0	75.146285960E-6	1.575123962E-6	-4.353326932E-6	1.999700000E+0
427.939253807E+0	-410.000000000E-9	-5.856390728E-3	-417.621053333E-3	7.175409609E-6	148.227520208E-6	14.283879825E+3	1.018587935E+6	17.500999045E+0	361.530537094E+0	73.277572732E-6	1.545454124E-6	-4.353326932E-6	2.000000000E+0
436.875549793E+0	-400.000000000E-9	-5.731853656E-3	-411.015376667E-3	5.738303182E-6	175.930167736E-6	14.329634139E+3	1.027538442E+6	14.345757954E+0	439.825419339E+0	80.297374797E-6	1.513849452E-6	-4.353326932E-6	1.999900000E+0
445.823841572E+0	-390.000000000E-9	-5.596829857E-3	-404.137646667E-3	5.644455350E-6	216.163141988E-6	14.350845786E+3	1.036250376E+6	14.472962437E+0	554.264466635E+0	74.061017940E-6	1.453968097E-6	-4.353326932E-6	2.000000000E+0
