[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
1.563092748E+3	100.000001490E-3	1.003853532E-9	21.153583022E-12	99.616127564E+6	2.099148888E+6
1.583092543E+3	100.000001490E-3	995.669892900E-12	59.805596555E-12	100.434895344E+6	6.032691029E+6
1.603094210E+3	100.000001490E-3	996.348440783E-12	7.583146809E-12	100.366495693E+6	763.883236426E+3
1.623093656E+3	100.000001490E-3	989.385809360E-12	10.090570688E-12	101.072807538E+6	1.030823668E+6
1.643092740E+3	100.000001490E-3	1.001449778E-9	15.510874045E-12	99.855233582E+6	1.546599725E+6
1.663093427E+3	100.000001490E-3	982.041363100E-12	6.722120360E-12	101.828706252E+6	697.022391529E+3
1.683093526E+3	100.000001490E-3	971.526656233E-12	17.498695874E-12	102.930785119E+6	1.853942445E+6
1.703092763E+3	100.000001490E-3	1.027914040E-9	19.121186283E-12	97.284400835E+6	1.809677734E+6
1.718092265E+3	100.000001490E-3	988.264092300E-12	21.445508315E-12	101.187528991E+6	2.195787554E+6
1.738092872E+3	100.000001490E-3	990.961923033E-12	7.322441753E-12	100.912052386E+6	745.661976120E+3
1.758091970E+3	100.000001490E-3	975.045846867E-12	12.537374916E-12	102.559281506E+6	1.318732004E+6
1.778092260E+3	100.000001490E-3	965.247122633E-12	10.451040826E-12	103.600413972E+6	1.121714979E+6
1.798092208E+3	100.000001490E-3	954.709106983E-12	7.190352488E-12	104.743948454E+6	788.874752422E+3
1.818092768E+3	100.000001490E-3	955.031964933E-12	12.341692965E-12	104.708538732E+6	1.353128150E+6
