[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191122 23:21:34"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
6.451500313E+3	103.917300000E+0	100.000001490E-3	2.079000634E-9	180.233058636E-12	48.100034157E+6	4.169895928E+6	1.741402197E-3	167.339027380E-3	837.615038925E+3	80.490128128E+6	75.000000000E+0	305.640013298E-12
6.513549808E+3	104.917100000E+0	100.000001490E-3	2.120259069E-9	166.003003026E-12	47.164048458E+6	3.692649541E+6	-5.012023643E-3	167.346923651E-3	-2.363873225E+6	78.927582988E+6	75.000000000E+0	308.305270202E-12
6.576367794E+3	105.941400000E+0	100.000001490E-3	2.216137994E-9	171.909817375E-12	45.123544547E+6	3.500314657E+6	-4.670865393E-3	166.786834005E-3	-2.107659995E+6	75.260130219E+6	75.000000000E+0	282.559614595E-12
6.636544725E+3	106.953200000E+0	100.000001490E-3	2.197915606E-9	173.818229868E-12	45.497652973E+6	3.598100620E+6	6.383048230E-3	160.756640500E-3	2.904137089E+6	73.140497336E+6	75.000000000E+0	256.713067470E-12
6.699079003E+3	107.916600000E+0	100.000001490E-3	2.275766207E-9	154.887435395E-12	43.941245448E+6	2.990617751E+6	6.001976487E-3	158.357781604E-3	2.637343180E+6	69.584380464E+6	75.000000000E+0	321.479398657E-12
6.765194557E+3	108.961100000E+0	100.000001490E-3	2.323883318E-9	166.068548632E-12	43.031421034E+6	3.075096577E+6	3.041486183E-3	163.184241805E-3	1.308794706E+6	70.220497105E+6	75.000000000E+0	310.668185621E-12
6.827713358E+3	109.930500000E+0	100.000001490E-3	2.345775293E-9	157.340862778E-12	42.629829794E+6	2.859359214E+6	-9.550406673E-3	157.933945161E-3	-4.071322049E+6	67.326971006E+6	75.000000000E+0	287.638080021E-12
6.888929124E+3	110.908600000E+0	100.000001490E-3	2.410059878E-9	193.357660026E-12	41.492745644E+6	3.328938123E+6	-5.727143937E-3	152.381499092E-3	-2.376349231E+6	63.227266884E+6	75.000000000E+0	367.841118676E-12
6.949626686E+3	111.949600000E+0	100.000001490E-3	2.414164129E-9	191.338122726E-12	41.422205015E+6	3.282977678E+6	581.403246667E-6	150.741463027E-3	240.830041207E+3	62.440436926E+6	75.000000000E+0	259.478938336E-12
7.011278072E+3	112.949300000E+0	100.000001490E-3	2.476461614E-9	176.307268978E-12	40.380194434E+6	2.874795943E+6	4.557840200E-3	146.957314744E-3	1.840464707E+6	59.341648544E+6	75.000000000E+0	307.147862699E-12
7.074520293E+3	113.910200000E+0	100.000001490E-3	2.590303359E-9	176.953108625E-12	38.605517441E+6	2.637284277E+6	-8.026652027E-3	147.972756255E-3	-3.098730502E+6	57.125647373E+6	75.000000000E+0	271.748512581E-12
7.137829032E+3	114.963100000E+0	100.000001490E-3	2.594814238E-9	182.401640866E-12	38.538404807E+6	2.709044899E+6	1.135081737E-3	140.071997554E-3	437.442388048E+3	53.981512634E+6	75.000000000E+0	311.925180130E-12
7.201375339E+3	115.963200000E+0	100.000001490E-3	2.657675522E-9	163.471435623E-12	37.626866278E+6	2.314397599E+6	-3.071419693E-3	140.690685599E-3	-1.155678964E+6	52.937495348E+6	75.000000000E+0	280.045459045E-12
7.265534415E+3	116.960700000E+0	100.000001490E-3	2.674750669E-9	191.292076685E-12	37.386662853E+6	2.673808987E+6	-4.692205663E-3	134.393985099E-3	-1.754259086E+6	50.245425355E+6	75.000000000E+0	264.910038350E-12
7.328612212E+3	117.958100000E+0	100.000001490E-3	2.753729982E-9	168.704399346E-12	36.314381632E+6	2.224762769E+6	-2.555871540E-3	129.073799404E-3	-928.148931219E+3	46.872351403E+6	75.000000000E+0	279.240769396E-12
7.393444247E+3	118.958000000E+0	100.000001490E-3	2.756490604E-9	166.957185635E-12	36.278012821E+6	2.197313828E+6	-4.595217293E-3	130.732366723E-3	-1.667053494E+6	47.427104054E+6	75.000000000E+0	313.132131335E-12
7.458083282E+3	119.920700000E+0	100.000001490E-3	2.828946948E-9	156.779624027E-12	35.348842989E+6	1.959025183E+6	5.636773277E-3	130.934781559E-3	1.992534106E+6	46.283929662E+6	75.000000000E+0	296.337010486E-12
7.520611487E+3	120.909100000E+0	100.000001490E-3	2.876750362E-9	167.899553488E-12	34.761445696E+6	2.028827836E+6	7.931082363E-3	126.441773805E-3	2.756958848E+6	43.952987884E+6	75.000000000E+0	315.948045504E-12
7.582900029E+3	121.908900000E+0	100.000001490E-3	2.954496340E-9	184.158812579E-12	33.846717001E+6	2.109723789E+6	-502.420243333E-6	120.995163379E-3	-170.052755384E+3	40.952889924E+6	75.000000000E+0	270.943545377E-12
7.645973252E+3	122.955300000E+0	100.000001490E-3	2.985342964E-9	167.176610734E-12	33.496989353E+6	1.875802284E+6	-3.360565013E-3	119.971064585E-3	-1.125688088E+6	40.186694131E+6	75.000000000E+0	236.800773434E-12
7.709025786E+3	123.951600000E+0	100.000001490E-3	3.054990645E-9	165.998535296E-12	32.733324950E+6	1.778625413E+6	-6.334851573E-3	117.975206082E-3	-2.073607520E+6	38.617206991E+6	75.000000000E+0	284.318901755E-12
7.769842115E+3	124.941400000E+0	100.000001490E-3	3.109065727E-9	152.723218782E-12	32.164003682E+6	1.579957004E+6	-2.883388687E-3	109.735703937E-3	-927.413229520E+3	35.295395329E+6	75.000000000E+0	282.106282778E-12
7.831839832E+3	125.956600000E+0	100.000001490E-3	3.170967646E-9	167.355412454E-12	31.536115361E+6	1.664394022E+6	4.703763367E-3	110.358853223E-3	1.483384220E+6	34.802894745E+6	75.000000000E+0	260.132443364E-12
7.893258961E+3	126.950600000E+0	100.000001490E-3	3.154612313E-9	164.126450647E-12	31.699616807E+6	1.649250392E+6	-4.421429813E-3	109.761773233E-3	-1.401576287E+6	34.794060997E+6	75.000000000E+0	330.329097409E-12
7.959849576E+3	127.962300000E+0	100.000001490E-3	3.232828902E-9	183.529277416E-12	30.932661310E+6	1.756062307E+6	101.636656667E-6	106.934224001E-3	31.438922305E+3	33.077600842E+6	75.000000000E+0	301.667135716E-12
8.022787796E+3	128.915300000E+0	100.000001490E-3	3.296757810E-9	174.480146920E-12	30.332832214E+6	1.605358151E+6	-7.499508410E-3	104.684364195E-3	-2.274813269E+6	31.753732072E+6	75.000000000E+0	308.002789939E-12
8.084223443E+3	129.943100000E+0	100.000001490E-3	3.371622741E-9	186.627522821E-12	29.659309230E+6	1.641714935E+6	-70.766606667E-6	103.989793222E-3	-20.988886390E+3	30.842653880E+6	75.000000000E+0	288.190998843E-12
8.143487313E+3	130.936900000E+0	100.000001490E-3	3.406567820E-9	186.472731944E-12	29.355059628E+6	1.606871917E+6	1.810769617E-3	100.164250273E-3	531.552492769E+3	29.403274955E+6	75.000000000E+0	386.043613743E-12
8.208395089E+3	131.950800000E+0	100.000001490E-3	3.430248613E-9	207.298718717E-12	29.152406360E+6	1.761754662E+6	-11.058638537E-3	99.410150510E-3	-3.223859196E+6	28.980450608E+6	75.000000000E+0	220.257312389E-12
8.271631758E+3	132.947800000E+0	100.000001490E-3	3.546089067E-9	186.295132616E-12	28.200081724E+6	1.481501977E+6	1.579346933E-3	92.923690544E-3	445.377119269E+3	26.204556284E+6	75.000000000E+0	323.038040762E-12
8.333807394E+3	133.950300000E+0	100.000001490E-3	3.607681705E-9	187.600132962E-12	27.718631982E+6	1.441374121E+6	-269.357390000E-6	89.735748118E-3	-74.662182539E+3	24.873521407E+6	75.000000000E+0	292.817547987E-12
8.394815525E+3	134.945400000E+0	100.000001490E-3	3.711130923E-9	175.431050183E-12	26.945964337E+6	1.273778511E+6	1.309234810E-3	94.349274889E-3	352.785939729E+3	25.423321585E+6	75.000000000E+0	319.970522300E-12
8.458412102E+3	135.954400000E+0	100.000001490E-3	3.687255965E-9	167.177007977E-12	27.120439275E+6	1.229617346E+6	439.781206667E-6	89.785431531E-3	119.270593320E+3	24.350203073E+6	75.000000000E+0	360.198121330E-12
8.522059298E+3	136.946400000E+0	100.000001490E-3	3.738552359E-9	153.804239863E-12	26.748321782E+6	1.100427359E+6	-3.416657303E-3	89.687328873E-3	-913.898476081E+3	23.989854968E+6	75.000000000E+0	345.666051338E-12
8.588632418E+3	137.954000000E+0	100.000001490E-3	3.891668881E-9	199.482118854E-12	25.695917242E+6	1.317140840E+6	-9.950267850E-3	87.789398121E-3	-2.556812554E+6	22.558290752E+6	75.000000000E+0	276.273837141E-12
8.649850683E+3	138.947800000E+0	100.000001490E-3	3.875565571E-9	184.235917507E-12	25.802685995E+6	1.226603302E+6	4.473682860E-3	81.436653146E-3	1.154330324E+6	21.012843583E+6	75.000000000E+0	335.760003134E-12
8.712197606E+3	139.938400000E+0	100.000001490E-3	3.992574918E-9	150.397001603E-12	25.046493442E+6	943.480734148E+3	-4.696254370E-3	84.014518864E-3	-1.176247025E+6	21.042690644E+6	75.000000000E+0	287.939810883E-12
8.775798438E+3	140.938600000E+0	100.000001490E-3	4.020166199E-9	172.190907184E-12	24.874593871E+6	1.065423336E+6	513.756903333E-6	77.948363686E-3	127.794941285E+3	19.389338607E+6	75.000000000E+0	302.673053287E-12
8.840576502E+3	141.937700000E+0	100.000001490E-3	4.122804678E-9	130.590298118E-12	24.255333272E+6	768.290387279E+3	-111.029913333E-6	77.843190836E-3	-26.930675110E+3	18.881125086E+6	75.000000000E+0	337.419286955E-12
8.903998024E+3	142.926100000E+0	100.000001490E-3	4.200729260E-9	161.325388054E-12	23.805390753E+6	914.225522048E+3	-1.647883140E-3	79.975189924E-3	-392.285014786E+3	19.038406183E+6	75.000000000E+0	294.627350295E-12
8.967546896E+3	143.938000000E+0	100.000001490E-3	4.258914610E-9	178.253628749E-12	23.480161177E+6	982.744270885E+3	-1.712281297E-3	71.892551544E-3	-402.046402275E+3	16.880486725E+6	75.000000000E+0	286.431323104E-12
9.028757361E+3	144.931900000E+0	100.000001490E-3	4.357559789E-9	181.222168603E-12	22.948624079E+6	954.387231356E+3	-7.767690653E-3	71.669082807E-3	-1.782578101E+6	16.447068149E+6	75.000000000E+0	299.907348955E-12
9.092469353E+3	145.929300000E+0	100.000001490E-3	4.193894767E-9	853.891944000E-12	23.844184713E+6	4.854761116E+6	-364.131343333E-6	68.990284876E-3	-86.824148808E+3	16.450170715E+6	75.000000000E+0	306.846631437E-12
9.152150257E+3	146.939500000E+0	100.000001490E-3	4.004673335E-9	1.166214453E-9	24.970826116E+6	7.271838647E+6	-2.543506937E-3	67.658634767E-3	-635.134684931E+3	16.894919788E+6	75.000000000E+0	322.836951616E-12
9.211813315E+3	147.937200000E+0	100.000001490E-3	3.701306594E-9	1.458112719E-9	27.017486652E+6	10.643414680E+6	-1.356377483E-3	63.799552659E-3	-366.459100052E+3	17.237035367E+6	75.000000000E+0	314.036935345E-12
9.271347720E+3	148.923400000E+0	100.000001490E-3	3.904719154E-9	1.429203012E-9	25.610036866E+6	9.373770654E+6	-3.277600107E-3	63.590300683E-3	-839.394583120E+3	16.285499205E+6	75.000000000E+0	296.940638744E-12
9.328611838E+3	149.929200000E+0	100.000001490E-3	3.857256725E-9	1.531707885E-9	25.925160966E+6	10.294822539E+6	-6.286663183E-3	62.990076720E-3	-1.629827525E+6	16.330278539E+6	75.000000000E+0	309.662573361E-12
9.387011746E+3	150.923400000E+0	100.000001490E-3	3.877388131E-9	1.554600830E-9	25.790557487E+6	10.340471655E+6	1.785201790E-3	63.483118004E-3	460.413487054E+3	16.372649800E+6	75.000000000E+0	282.710105326E-12
9.444706145E+3	151.925100000E+0	100.000001490E-3	4.203741329E-9	1.389694381E-9	23.788333690E+6	7.864069425E+6	-724.640730000E-6	58.846744020E-3	-172.379952340E+3	13.998659625E+6	75.000000000E+0	318.361725871E-12
9.502112507E+3	152.927200000E+0	100.000001490E-3	4.313017282E-9	1.442430644E-9	23.185625038E+6	7.754120575E+6	-1.415948793E-3	53.942786420E-3	-328.296573059E+3	12.506972008E+6	75.000000000E+0	306.494496449E-12
9.559612265E+3	153.929200000E+0	100.000001490E-3	4.134222480E-9	1.526572520E-9	24.188345444E+6	8.931610147E+6	-2.591892350E-3	53.749510532E-3	-626.935865822E+3	13.001117088E+6	75.000000000E+0	329.625104989E-12
9.617367705E+3	154.944300000E+0	100.000001490E-3	4.317121175E-9	1.606960315E-9	23.163584581E+6	8.622171967E+6	4.189104353E-3	52.859164513E-3	970.346715600E+3	12.244077098E+6	75.000000000E+0	311.120518237E-12
9.675523266E+3	155.926400000E+0	100.000001490E-3	4.202658254E-9	1.726556912E-9	23.794464231E+6	9.775359834E+6	-4.780168250E-3	52.684410012E-3	-1.137415407E+6	12.535972909E+6	75.000000000E+0	345.414086222E-12
9.736703629E+3	156.944600000E+0	100.000001490E-3	4.511279213E-9	1.533296918E-9	22.166661999E+6	7.534021486E+6	1.751708240E-3	52.316515621E-3	388.295238988E+3	11.596825015E+6	75.000000000E+0	316.802473144E-12
9.794541045E+3	157.929300000E+0	100.000001490E-3	4.513715965E-9	1.685939430E-9	22.154695214E+6	8.275105146E+6	-2.116361077E-3	52.072276603E-3	-468.873339180E+3	11.536454001E+6	75.000000000E+0	304.834962828E-12
9.850636046E+3	158.950600000E+0	100.000001490E-3	4.549548602E-9	1.717944087E-9	21.980202924E+6	8.299891474E+6	-1.660381813E-3	47.104769342E-3	-364.955286450E+3	10.353723734E+6	75.000000000E+0	267.624783445E-12
9.909391676E+3	159.923500000E+0	100.000001490E-3	4.341905997E-9	1.913768600E-9	23.031360318E+6	10.151462106E+6	-937.677423333E-6	46.802773770E-3	-215.959862767E+3	10.779315305E+6	75.000000000E+0	318.613219141E-12
9.966519114E+3	160.937700000E+0	100.000001490E-3	4.555045188E-9	1.871668908E-9	21.953679352E+6	9.020770895E+6	-2.354154430E-3	44.723666911E-3	-516.823507306E+3	9.818490282E+6	75.000000000E+0	397.911120720E-12
10.023752010E+3	161.931500000E+0	100.000001490E-3	4.411658803E-9	1.967754622E-9	22.667211125E+6	10.110371508E+6	5.015541390E-3	44.168561777E-3	1.136883339E+6	10.011780999E+6	75.000000000E+0	329.977045688E-12
10.080382146E+3	162.948700000E+0	100.000001490E-3	4.880742078E-9	1.853606556E-9	20.488687970E+6	7.781186907E+6	-306.425856667E-6	43.383452686E-3	-62.782636696E+3	8.888700119E+6	75.000000000E+0	322.987497858E-12
10.137845761E+3	163.941300000E+0	100.000001490E-3	4.914869053E-9	1.863523406E-9	20.346422338E+6	7.714556347E+6	415.343696667E-6	40.446549168E-3	84.507581420E+3	8.229425592E+6	75.000000000E+0	278.284784105E-12
10.195189864E+3	164.928500000E+0	100.000001490E-3	5.124408763E-9	1.766865620E-9	19.514446665E+6	6.728464980E+6	-502.478430000E-6	41.424617725E-3	-98.055883764E+3	8.083784812E+6	75.000000000E+0	342.447015189E-12
10.252727217E+3	165.971800000E+0	100.000001490E-3	5.306501609E-9	1.621878362E-9	18.844807532E+6	5.759724168E+6	-1.071080507E-3	39.463982212E-3	-201.843056987E+3	7.436911381E+6	75.000000000E+0	398.563959614E-12
10.310350712E+3	166.921400000E+0	100.000001490E-3	5.044553242E-9	1.943282477E-9	19.823361297E+6	7.636432565E+6	2.908290590E-3	39.390072929E-3	576.520942623E+3	7.808436355E+6	75.000000000E+0	325.249965849E-12
10.366561275E+3	167.922900000E+0	100.000001490E-3	5.112791750E-9	1.960659840E-9	19.558786350E+6	7.500428101E+6	-2.989873870E-3	36.903787806E-3	-584.783033653E+3	7.217932904E+6	75.000000000E+0	275.117012505E-12
10.425875302E+3	168.984800000E+0	100.000001490E-3	5.100667971E-9	2.148068318E-9	19.605275636E+6	8.256462034E+6	-1.211871690E-3	35.405960338E-3	-237.590781633E+3	6.941436012E+6	75.000000000E+0	322.685822507E-12
10.483832098E+3	169.979500000E+0	100.000001490E-3	5.312717775E-9	2.044268141E-9	18.822758091E+6	7.242764686E+6	-3.687556223E-3	35.209119571E-3	-694.099777027E+3	6.627327304E+6	75.000000000E+0	294.576973925E-12
10.541640418E+3	170.930400000E+0	100.000001490E-3	5.419912029E-9	2.099518570E-9	18.450484244E+6	7.147188754E+6	2.141674773E-3	32.089330176E-3	395.149360729E+3	5.920636720E+6	75.000000000E+0	300.359598304E-12
10.602591140E+3	171.975600000E+0	100.000001490E-3	5.906248229E-9	1.836529914E-9	16.931222259E+6	5.264712038E+6	-845.619333333E-6	32.008756748E-3	-143.173686662E+3	5.419473667E+6	75.000000000E+0	276.373840480E-12
10.662025364E+3	172.976800000E+0	100.000001490E-3	5.837017634E-9	2.055988302E-9	17.132036901E+6	6.034463089E+6	1.746740763E-3	30.476689029E-3	299.252267673E+3	5.221277533E+6	75.000000000E+0	324.143711872E-12
10.724668088E+3	173.972600000E+0	100.000001490E-3	5.913703599E-9	2.086213739E-9	16.909877171E+6	5.965401798E+6	241.339596667E-6	29.725484398E-3	40.810228752E+3	5.026542825E+6	75.000000000E+0	249.019471710E-12
10.784380613E+3	174.976000000E+0	100.000001490E-3	6.176936340E-9	1.949961942E-9	16.189255641E+6	5.110694141E+6	936.933963333E-6	29.037412413E-3	151.682632249E+3	4.700940857E+6	75.000000000E+0	366.835145593E-12
10.843482989E+3	175.960200000E+0	100.000001490E-3	5.961568603E-9	2.343881791E-9	16.774108988E+6	6.594997263E+6	45.245780000E-6	28.169004350E-3	7.589576337E+3	4.725099420E+6	75.000000000E+0	358.387236554E-12
10.900497282E+3	176.991100000E+0	100.000001490E-3	5.451990899E-9	2.701668429E-9	18.341923776E+6	9.089119427E+6	-1.087148583E-3	27.518541013E-3	-199.403961512E+3	5.047429742E+6	75.000000000E+0	300.058172753E-12
10.956660973E+3	177.911400000E+0	100.000001490E-3	6.096433524E-9	2.382917754E-9	16.403033199E+6	6.411466453E+6	-3.135999310E-3	26.033286359E-3	-514.399000277E+3	4.270248541E+6	75.000000000E+0	285.877960193E-12
11.015306482E+3	178.968100000E+0	100.000001490E-3	6.199583965E-9	2.446888864E-9	16.130114868E+6	6.366330171E+6	3.541339033E-3	25.838402722E-3	571.222045435E+3	4.167763977E+6	75.000000000E+0	331.485922045E-12
11.076333282E+3	179.933100000E+0	100.000001490E-3	5.484737419E-9	2.941460324E-9	18.232413670E+6	9.778028980E+6	-776.256880000E-6	23.732378038E-3	-141.530363397E+3	4.326985273E+6	75.000000000E+0	336.262850897E-12
11.136202481E+3	180.965100000E+0	100.000001490E-3	6.216220867E-9	2.699781712E-9	16.086944725E+6	6.986759335E+6	-4.030703450E-3	21.339584001E-3	-648.417026385E+3	3.432887032E+6	75.000000000E+0	351.146334232E-12
11.194088641E+3	181.979900000E+0	100.000001490E-3	6.083292945E-9	2.858172836E-9	16.438465546E+6	7.723444542E+6	-1.635755073E-3	21.045554699E-3	-268.893030143E+3	3.459566207E+6	75.000000000E+0	353.107959539E-12
11.252156364E+3	182.971000000E+0	100.000001490E-3	6.618351293E-9	2.639487786E-9	15.109503420E+6	6.025873811E+6	2.894083877E-3	21.080015078E-3	437.281695801E+3	3.185085552E+6	75.000000000E+0	308.657016612E-12
11.310211050E+3	183.977700000E+0	100.000001490E-3	6.466136839E-9	2.832205330E-9	15.465184852E+6	6.773840402E+6	-1.385511213E-3	21.314049475E-3	-214.271867089E+3	3.296257102E+6	75.000000000E+0	286.984019882E-12
11.368053280E+3	184.965400000E+0	100.000001490E-3	6.311835217E-9	2.989839951E-9	15.843252881E+6	7.504757140E+6	-2.162860427E-3	21.721990078E-3	-342.667441745E+3	3.441469767E+6	75.000000000E+0	281.905332411E-12
11.427388899E+3	185.963300000E+0	100.000001490E-3	6.915166988E-9	2.776171103E-9	14.460966982E+6	5.805516878E+6	743.008103333E-6	20.275078650E-3	107.446154897E+3	2.931972386E+6	75.000000000E+0	391.775945019E-12
11.488799681E+3	186.954100000E+0	100.000001490E-3	7.206472614E-9	2.625369023E-9	13.876414557E+6	5.055276122E+6	-2.172449883E-3	22.380146890E-3	-301.458147372E+3	3.105561915E+6	75.000000000E+0	343.101130840E-12
11.548102468E+3	187.962100000E+0	100.000001490E-3	6.858000333E-9	3.022388888E-9	14.581510154E+6	6.426216407E+6	470.330346667E-6	22.202865270E-3	68.581266234E+3	3.237513006E+6	75.000000000E+0	293.068486146E-12
11.606014407E+3	188.980600000E+0	100.000001490E-3	7.118550347E-9	2.885025257E-9	14.047804203E+6	5.693331922E+6	420.098876667E-6	19.446582196E-3	59.014666775E+3	2.731817750E+6	75.000000000E+0	281.100975830E-12
11.665907311E+3	189.946100000E+0	100.000001490E-3	7.058998775E-9	3.131687001E-9	14.166315179E+6	6.284809861E+6	-2.077055050E-3	20.978003363E-3	-294.242160441E+3	2.971810030E+6	75.000000000E+0	314.740927765E-12
11.726106395E+3	190.977900000E+0	100.000001490E-3	6.954145148E-9	3.348221810E-9	14.379912895E+6	6.923516399E+6	-703.579766667E-6	19.255483842E-3	-101.174156084E+3	2.768921763E+6	75.000000000E+0	280.648504436E-12
11.785725017E+3	191.970600000E+0	100.000001490E-3	6.576502574E-9	3.624986354E-9	15.205650778E+6	8.381396639E+6	-236.082286667E-6	16.573464455E-3	-35.897847525E+3	2.520103089E+6	75.000000000E+0	304.533120943E-12
11.843661406E+3	192.982100000E+0	100.000001490E-3	7.366519283E-9	3.293521028E-9	13.574932427E+6	6.069260621E+6	1.264128327E-3	17.660410523E-3	171.604563573E+3	2.397388759E+6	75.000000000E+0	358.538393419E-12
11.899981083E+3	193.963100000E+0	100.000001490E-3	8.091555672E-9	2.979646893E-9	12.358563117E+6	4.550936271E+6	-5.472722870E-3	17.113491037E-3	-676.349900049E+3	2.114981560E+6	75.000000000E+0	301.315278284E-12
11.959649100E+3	194.971900000E+0	100.000001490E-3	6.856993778E-9	3.828702847E-9	14.583650609E+6	8.142994790E+6	-876.877480000E-6	16.095291837E-3	-127.880746050E+3	2.347281091E+6	75.000000000E+0	285.223983321E-12
12.018202237E+3	195.965300000E+0	100.000001490E-3	7.309031275E-9	3.797418038E-9	13.681703870E+6	7.108349534E+6	888.261130000E-6	15.763804369E-3	121.529255591E+3	2.156757000E+6	75.000000000E+0	328.418181539E-12
12.079270307E+3	196.970300000E+0	100.000001490E-3	7.384961239E-9	3.884861630E-9	13.541032681E+6	7.123265322E+6	485.475736667E-6	14.131409571E-3	65.738427183E+3	1.913538760E+6	75.000000000E+0	267.273064791E-12
12.141463026E+3	197.949600000E+0	100.000001490E-3	7.805614386E-9	3.818665498E-9	12.811291532E+6	6.267544685E+6	-218.913416667E-6	15.271499999E-3	-28.045635594E+3	1.956476357E+6	75.000000000E+0	354.163254279E-12
12.202575773E+3	198.933000000E+0	100.000001490E-3	10.273655527E-9	127.449862489E-12	9.733633878E+6	120.750622416E+3	1.920043630E-3	14.503079018E-3	186.890014466E+3	1.411676592E+6	75.000000000E+0	346.168455012E-12
12.259907044E+3	199.966000000E+0	100.000001490E-3	10.352669352E-9	137.286476470E-12	9.659344667E+6	128.092316021E+3	-3.300293070E-3	14.533698442E-3	-318.786677889E+3	1.403860004E+6	75.000000000E+0	318.914450403E-12
12.315611896E+3	200.992300000E+0	100.000001490E-3	10.636111121E-9	124.981321578E-12	9.401932751E+6	110.478911636E+3	619.427803333E-6	13.679292873E-3	58.238184644E+3	1.286117898E+6	75.000000000E+0	382.523762665E-12
12.370107198E+3	201.935800000E+0	100.000001490E-3	10.770868101E-9	147.746011398E-12	9.284302858E+6	127.354518036E+3	3.090964443E-3	13.724732460E-3	286.974495866E+3	1.274245709E+6	75.000000000E+0	261.691390779E-12
12.427856396E+3	202.994200000E+0	100.000001490E-3	10.954492943E-9	124.501590236E-12	9.128674601E+6	103.750535099E+3	-1.572275617E-3	13.774617875E-3	-143.527922734E+3	1.257440025E+6	75.000000000E+0	257.617926991E-12
12.485349653E+3	203.952100000E+0	100.000001490E-3	11.133134083E-9	156.511626063E-12	8.982196814E+6	126.273358286E+3	2.017505753E-3	13.371191183E-3	181.216334793E+3	1.201026690E+6	75.000000000E+0	266.618893630E-12
12.541556260E+3	204.972400000E+0	100.000001490E-3	11.382414161E-9	176.160122421E-12	8.785482594E+6	135.968667756E+3	-2.285021913E-3	12.979161080E-3	-200.750199477E+3	1.140281921E+6	75.000000000E+0	329.323041059E-12
12.597787702E+3	205.966000000E+0	100.000001490E-3	11.647078825E-9	145.506419694E-12	8.585843970E+6	107.262553544E+3	-377.231203333E-6	12.762594882E-3	-32.388482040E+3	1.095776467E+6	75.000000000E+0	346.621148450E-12
12.654297601E+3	206.960200000E+0	100.000001490E-3	11.884726386E-9	184.253786019E-12	8.414161020E+6	130.448188180E+3	-38.681903333E-6	12.740120075E-3	-3.254757584E+3	1.071974201E+6	75.000000000E+0	369.701269598E-12
12.711182483E+3	207.970200000E+0	100.000001490E-3	12.071193003E-9	221.100143454E-12	8.284185454E+6	151.736004201E+3	2.083906637E-3	12.028325207E-3	172.634687896E+3	996.448752269E+3	75.000000000E+0	311.371789463E-12
12.768990938E+3	208.969800000E+0	100.000001490E-3	12.305181180E-9	221.711299870E-12	8.126658196E+6	146.423845841E+3	-352.930970000E-6	11.737508386E-3	-28.681493172E+3	953.867173019E+3	75.000000000E+0	336.111694033E-12
12.827036273E+3	209.960100000E+0	100.000001490E-3	12.447240224E-9	242.244355269E-12	8.033909500E+6	156.353472111E+3	183.215816667E-6	12.240993814E-3	14.719392682E+3	983.430350354E+3	75.000000000E+0	302.169927968E-12
12.883803678E+3	210.976100000E+0	100.000001490E-3	12.685172033E-9	283.092273574E-12	7.883219970E+6	175.928135500E+3	491.186056667E-6	11.143520350E-3	38.721276730E+3	878.468208468E+3	75.000000000E+0	320.976190071E-12
12.939334013E+3	211.927500000E+0	100.000001490E-3	12.930327401E-9	286.539252777E-12	7.733756338E+6	171.381952958E+3	662.900803333E-6	10.512418713E-3	51.267132130E+3	813.004836421E+3	75.000000000E+0	352.051804375E-12
