[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191121 22:36:05"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
1.546576207E+3	37.928900000E+0	100.000001490E-3	9.156333267E-12	475.689412380E-15	10.921402550E+9	567.388212095E+6	-1.046345190E-3	8.861984946E-3	-114.275568563E+6	967.853035444E+6	75.000000000E+0	320.068804793E-12
1.591707574E+3	38.931500000E+0	100.000001490E-3	9.607362500E-12	396.149204733E-15	10.408684120E+9	429.190835311E+6	937.134430000E-6	9.901888230E-3	97.543361146E+6	1.030656252E+9	75.000000000E+0	302.871672186E-12
1.636812601E+3	39.921300000E+0	100.000001490E-3	8.819462233E-12	677.414419537E-15	11.338559976E+9	870.903896567E+6	343.315250000E-6	8.905437563E-3	38.927004948E+6	1.009748364E+9	75.000000000E+0	315.693887698E-12
1.681856688E+3	40.932900000E+0	100.000001490E-3	9.894108367E-12	596.832496873E-15	10.107025088E+9	609.676061346E+6	-786.868266667E-6	8.275080564E-3	-79.528971940E+6	836.364456252E+6	75.000000000E+0	335.153182984E-12
1.727060098E+3	41.920400000E+0	100.000001490E-3	10.647141767E-12	469.859090385E-15	9.392192166E+9	414.478079141E+6	-1.020828960E-3	8.305648834E-3	-95.878216180E+6	780.082487469E+6	75.000000000E+0	347.372464127E-12
1.772048279E+3	42.931000000E+0	100.000001490E-3	10.697786400E-12	498.593378353E-15	9.347728376E+9	435.671016094E+6	-781.881246667E-6	8.272265690E-3	-73.088134071E+6	773.268915753E+6	75.000000000E+0	320.068804793E-12
1.817163030E+3	43.934300000E+0	100.000001490E-3	10.931410333E-12	446.975530190E-15	9.147950579E+9	374.051465968E+6	-54.133470000E-6	8.162403153E-3	-4.952103009E+6	746.692595348E+6	75.000000000E+0	326.353361002E-12
1.862165866E+3	44.915200000E+0	100.000001490E-3	11.112459433E-12	418.089434593E-15	8.998908126E+9	338.570271753E+6	73.049196667E-6	8.111960580E-3	6.573629997E+6	729.987868876E+6	75.000000000E+0	331.935229303E-12
1.907204675E+3	45.905100000E+0	100.000001490E-3	11.585372167E-12	595.942939368E-15	8.631574373E+9	444.001774733E+6	-1.073658093E-3	7.750233088E-3	-92.673595452E+6	668.967123087E+6	75.000000000E+0	339.779732128E-12
1.952247171E+3	46.910000000E+0	100.000001490E-3	11.793027867E-12	402.423496726E-15	8.479586635E+9	289.356130014E+6	-839.220793333E-6	7.897370138E-3	-71.162453173E+6	669.664332839E+6	75.000000000E+0	318.409326683E-12
