[Main]
Experiment = "RvsB_100.00Vg_2.0K"
Header length = 71    
Date = "20200216 21:51:50"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
3.874433394E+3	2.799986914E+0	100.000001490E-3	1.606262730E-6	31.990118342E-9	62.256316880E+3	1.239888661E+3	100.000000000E+0	71.841486232E-12	1.999200000E+0
3.924392403E+3	3.000023242E+0	100.000001490E-3	1.627746324E-6	51.180105734E-9	61.434635137E+3	1.931646889E+3	100.000000000E+0	70.780468986E-12	1.999000000E+0
3.974393854E+3	3.200016211E+0	100.000001490E-3	1.659893389E-6	80.460181247E-9	60.244833875E+3	2.920253966E+3	100.000000000E+0	71.680576752E-12	1.999000000E+0
4.024329739E+3	3.400009375E+0	100.000001490E-3	1.604681042E-6	46.481498623E-9	62.317681130E+3	1.805105896E+3	100.000000000E+0	73.651727078E-12	2.000300000E+0
4.074333240E+3	3.600023828E+0	100.000001490E-3	1.642690744E-6	48.327936239E-9	60.875732012E+3	1.790963093E+3	100.000000000E+0	78.252858360E-12	2.000300000E+0
4.124305656E+3	3.800012500E+0	100.000001490E-3	1.675156419E-6	75.160820879E-9	59.695918767E+3	2.678433015E+3	100.000000000E+0	78.443962437E-12	1.999200000E+0
4.174273586E+3	4.000018359E+0	100.000001490E-3	1.506173360E-6	35.809854556E-9	66.393420654E+3	1.578529271E+3	100.000000000E+0	73.390242494E-12	1.999200000E+0
4.224268484E+3	4.200005859E+0	100.000001490E-3	1.629302011E-6	65.922623848E-9	61.375976237E+3	2.483312098E+3	100.000000000E+0	79.711207773E-12	2.000800000E+0
4.274240666E+3	4.400014844E+0	100.000001490E-3	1.645137697E-6	83.861904883E-9	60.785186342E+3	3.098562220E+3	100.000000000E+0	81.144370390E-12	2.000800000E+0
4.324216908E+3	4.600025391E+0	100.000001490E-3	1.652563951E-6	71.062772634E-9	60.512031289E+3	2.602109721E+3	100.000000000E+0	70.529087431E-12	1.999500000E+0
4.374183311E+3	4.800026953E+0	100.000001490E-3	1.637399750E-6	77.499633898E-9	61.072442151E+3	2.890614774E+3	100.000000000E+0	82.602645557E-12	1.999500000E+0
4.424118644E+3	5.000023047E+0	100.000001490E-3	1.618594711E-6	16.862736555E-9	61.781989518E+3	643.653044099E+0	100.000000000E+0	78.071956539E-12	2.000700000E+0
4.474109135E+3	5.200036719E+0	100.000001490E-3	1.622833758E-6	38.775955401E-9	61.620607161E+3	1.472361481E+3	100.000000000E+0	77.795393738E-12	2.000700000E+0
4.524044855E+3	5.400027734E+0	100.000001490E-3	1.652740706E-6	17.242655291E-9	60.505559709E+3	631.240281824E+0	100.000000000E+0	83.940301238E-12	2.000900000E+0
4.574071286E+3	5.600037891E+0	100.000001490E-3	1.663053872E-6	80.838762538E-9	60.130344046E+3	2.922853364E+3	100.000000000E+0	88.677172549E-12	2.000900000E+0
4.624031049E+3	5.800035156E+0	100.000001490E-3	1.591033326E-6	33.692957090E-9	62.852235609E+3	1.331007743E+3	100.000000000E+0	84.744947171E-12	2.000000000E+0
4.674236241E+3	6.000039844E+0	100.000001490E-3	1.598242347E-6	42.405973157E-9	62.568734746E+3	1.660128760E+3	100.000000000E+0	84.589051735E-12	2.000000000E+0
4.724202541E+3	6.200034375E+0	100.000001490E-3	1.623448905E-6	27.067308219E-9	61.597258283E+3	1.026993810E+3	100.000000000E+0	84.317534205E-12	1.999000000E+0
4.774224958E+3	6.400045703E+0	100.000001490E-3	1.664168412E-6	73.585511461E-9	60.090073065E+3	2.657038030E+3	100.000000000E+0	82.185345335E-12	1.999000000E+0
4.824179119E+3	6.600018750E+0	100.000001490E-3	1.634486429E-6	36.609012826E-9	61.181298135E+3	1.370330698E+3	100.000000000E+0	84.156553254E-12	2.000900000E+0
4.874199726E+3	6.800019531E+0	100.000001490E-3	1.638777199E-6	48.624176222E-9	61.021108648E+3	1.810557983E+3	100.000000000E+0	87.319523834E-12	2.000900000E+0
4.924128766E+3	7.000029687E+0	100.000001490E-3	1.588093664E-6	23.376377422E-9	62.968579094E+3	926.883158078E+0	100.000000000E+0	90.236085964E-12	2.000700000E+0
4.974082702E+3	7.200022656E+0	100.000001490E-3	1.663847334E-6	85.124362019E-9	60.101668865E+3	3.074871183E+3	100.000000000E+0	90.995373736E-12	2.000700000E+0
5.024032607E+3	7.400032031E+0	100.000001490E-3	1.642883988E-6	74.307943308E-9	60.868571500E+3	2.753096624E+3	100.000000000E+0	90.914906159E-12	2.000400000E+0
5.074046751E+3	7.600032813E+0	100.000001490E-3	1.648753178E-6	64.308297884E-9	60.651893082E+3	2.365678537E+3	100.000000000E+0	86.359033119E-12	2.000400000E+0
5.124045354E+3	7.800029688E+0	100.000001490E-3	1.608598392E-6	34.827403377E-9	62.165921567E+3	1.345940439E+3	100.000000000E+0	87.666425508E-12	1.999300000E+0
5.174053872E+3	8.000037500E+0	100.000001490E-3	1.668631111E-6	13.459335594E-9	59.929364142E+3	483.395891653E+0	100.000000000E+0	84.508419707E-12	1.999300000E+0
5.224051043E+3	8.200023438E+0	100.000001490E-3	1.612075467E-6	51.635975257E-9	62.031836324E+3	1.986925818E+3	100.000000000E+0	87.435043927E-12	1.999500000E+0
5.274002249E+3	8.400028906E+0	100.000001490E-3	1.590619556E-6	12.639940822E-9	62.868585460E+3	499.588475936E+0	100.000000000E+0	89.446498125E-12	1.999500000E+0
5.323924424E+3	8.600035937E+0	100.000001490E-3	1.665770839E-6	71.448294674E-9	60.032268046E+3	2.574905910E+3	100.000000000E+0	89.602342906E-12	1.998800000E+0
5.373929880E+3	8.800045312E+0	100.000001490E-3	1.623872114E-6	9.605019602E-9	61.581204978E+3	364.245851599E+0	100.000000000E+0	90.080089915E-12	1.998800000E+0
5.423873402E+3	9.000025781E+0	100.000001490E-3	1.541158730E-6	63.652056758E-9	64.886244060E+3	2.679894556E+3	100.000000000E+0	90.567812278E-12	2.000000000E+0
