[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201124 23:43:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 10.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
228.748926163E+0	-9.640000343E+0	-3.835943533E-6	120.783286505E-12	2.513071493E+6	79.129693005E+0	-589.718792300E-3	602.823239833E-3	231.535691498E-6	178.659326956E-6	153.735003442E+3	-157.151228790E+3	60.359515067E+0	46.575066969E+0	400.014700000E+0
235.230870247E+0	-9.630000114E+0	-3.833001633E-6	135.528208880E-12	2.512391341E+6	88.833747296E+0	-589.276035600E-3	602.256550100E-3	264.119310284E-6	176.877928151E-6	153.737486172E+3	-157.124000382E+3	68.906652162E+0	46.146061252E+0	400.014700000E+0
241.566664696E+0	-9.619999886E+0	-3.830013067E-6	160.957679881E-12	2.511740748E+6	105.556810447E+0	-588.841527700E-3	601.659205467E-3	272.061715502E-6	174.341404310E-6	153.743999681E+3	-157.090640422E+3	71.034148126E+0	45.519793608E+0	400.014700000E+0
247.901206017E+0	-9.609999657E+0	-3.826944500E-6	149.177688542E-12	2.511141632E+6	97.886526506E+0	-588.344076767E-3	601.115396467E-3	263.676004986E-6	201.964254957E-6	153.737290093E+3	-157.074500680E+3	68.899876909E+0	52.774283755E+0	400.011200000E+0
254.455906391E+0	-9.600000381E+0	-3.823734000E-6	139.412313314E-12	2.510634992E+6	91.537076626E+0	-587.909941267E-3	600.485160000E-3	299.078091554E-6	244.082547094E-6	153.752834603E+3	-157.041561991E+3	78.216238774E+0	63.833558269E+0	400.011200000E+0
260.796851158E+0	-9.590000153E+0	-3.819957933E-6	115.865240788E-12	2.510498890E+6	76.147319813E+0	-587.396139867E-3	599.920159700E-3	262.152373575E-6	185.615516728E-6	153.770316354E+3	-157.048891682E+3	68.627031541E+0	48.590984500E+0	400.011200000E+0
267.134091854E+0	-9.579999924E+0	-3.815924633E-6	141.736151992E-12	2.510531744E+6	93.249511718E+0	-586.952350167E-3	599.339566967E-3	320.130370288E-6	227.254234237E-6	153.816546857E+3	-157.062736966E+3	83.893263376E+0	59.554172599E+0	400.011200000E+0
273.477368355E+0	-9.569999695E+0	-3.811588433E-6	131.426833804E-12	2.510764177E+6	86.573299281E+0	-586.433083100E-3	598.699828000E-3	334.347793704E-6	207.370301886E-6	153.855300318E+3	-157.073576665E+3	87.718755462E+0	54.405218589E+0	400.011200000E+0
279.817310810E+0	-9.560000420E+0	-3.807478567E-6	137.353980983E-12	2.510848125E+6	90.578313064E+0	-585.901731167E-3	598.061827267E-3	302.984879719E-6	192.431085128E-6	153.881819926E+3	-157.075559795E+3	79.576253527E+0	50.540293729E+0	400.011200000E+0
286.156089306E+0	-9.550000191E+0	-3.803679133E-6	124.769783404E-12	2.510727077E+6	82.357859996E+0	-585.485546500E-3	597.459069767E-3	286.423571480E-6	206.617249001E-6	153.926113633E+3	-157.073993053E+3	75.301717479E+0	54.320367665E+0	400.011200000E+0
